"plot"	"LUI_08"	"LUI_09"	"LUI_10"	"LUI_11"	"LUI_12"	"LUI_13"	"LUI_14"	"LUI_15"
"AEG"	1.74	1.78	2.14	1.78	2.35	1.94	2.4	NA
"AEG"	2.74	3.37	3.11	3.11	2.84	2.52	3.49	NA
"AEG"	2.22	1.96	1.94	1.67	1.1	1.41	1.37	NA
"AEG"	1.71	1.56	1.52	2.19	1.84	1.88	1.77	NA
"AEG"	1.88	1.66	1.5	2.25	1.74	1.92	2	NA
"AEG"	2.86	1.91	1.71	1.78	2.26	1.99	2.27	NA
"AEG"	0.47	0.58	0.57	0.44	0.53	0.43	0.42	NA
"AEG"	1.36	1.46	1.37	1.2	1.19	1.44	1.17	NA
"AEG"	0.56	0.51	0.8	0.73	0.72	0.67	0.72	NA
"AEG"	0.99	1.02	0.99	0.97	0.97	0.98	0	NA
"AEG"	2.01	2	2.41	2.39	2.15	2.07	2.22	NA
"AEG"	1.74	2.17	2.76	2.28	2.22	2.22	2.05	NA
"AEG"	1.74	2.17	2.76	2.28	2	2.22	2.34	NA
"AEG"	2.23	2.17	2.12	2.23	2.53	1.64	2.32	NA
"AEG"	2.63	2.58	2.6	2.33	3.09	3.52	2.68	NA
"AEG"	1.88	1.57	1.61	1.54	1.5	1.81	1.36	NA
"AEG"	2.33	2.07	2.06	1.67	1.72	1.63	1.63	NA
"AEG"	2.44	2.17	2.08	2.23	2.53	2.24	2.59	NA
"AEG"	3.27	2.2	1.57	1.77	1.72	1.79	1.69	NA
"AEG"	2.03	1.19	1.62	1.04	0.8	0.59	0.97	NA
"AEG"	4.57	3.8	3.23	2.97	2.29	3.21	2.16	NA
"AEG"	0.99	1.16	2.06	1.08	1.09	1.39	1.55	NA
"AEG"	1.4	1.02	0.99	1.67	1.72	1.76	1.34	NA
"AEG"	2.36	2.41	2.12	2.24	2.35	2.69	2.64	NA
"AEG"	0.67	0.86	1.34	0.57	0.56	0.53	0.56	NA
"AEG"	1.45	1.48	1.62	1.49	1.47	1.34	1.31	NA
"AEG"	1.34	0.96	1.07	0.93	1.01	1.05	1.14	NA
"AEG"	0.7	0.66	0.74	0.86	1.38	1.2	1.2	NA
"AEG"	1.42	1.58	1.42	1.61	1.34	1.97	1.27	NA
"AEG"	1.01	1.69	2.36	1.56	1.68	1.8	1.62	NA
"AEG"	0.7	1.33	1.83	1.39	1.52	1.52	1.3	NA
"AEG"	0.58	0.55	0.67	0.67	0.99	0.89	0.79	NA
"AEG"	1.63	0.9	1.18	1.08	1.07	1.09	1.06	NA
"AEG"	1.03	0.97	0.91	1.55	1.55	1.46	1.54	NA
"AEG"	1.74	1.74	1.79	1.65	1.95	1.94	2.42	NA
"AEG"	1.74	1.73	2.19	1.65	1.75	1.88	2.42	NA
"AEG"	1.74	2.17	1.71	2.02	2.08	2.34	1.82	NA
"AEG"	1.4	1.44	1.4	1.72	1.37	1.39	1.34	NA
"AEG"	1.74	2.17	1.71	2.48	2	2.3	1.82	NA
"AEG"	2.06	2.1	2.06	2.22	1.94	2.55	1.71	NA
"AEG"	2.3	2.23	2.34	2.76	2.7	3.2	2.52	NA
"AEG"	2.42	1.86	2.1	2.07	2.22	1.94	2.13	NA
"AEG"	2.13	2.03	1.58	1.18	1.05	1.39	1.34	NA
"AEG"	2.06	2.03	1.95	1.16	1.27	1.1	1.33	NA
"AEG"	1.4	1.44	1.4	1.67	1.68	1.64	1.56	NA
"AEG"	1.53	1.84	1.48	1.4	1.29	1.68	1.48	NA
"AEG"	0.58	0.63	0.72	0.72	0.72	0.72	0.84	NA
"AEG"	0.72	0.65	0.67	0.64	0.63	0.65	0.7	NA
"AEG"	1.12	1.06	0.94	1.08	1.18	1.1	1.09	NA
"AEG"	2.24	2.19	2.7	1.98	1.56	1.64	1.45	NA
