"Plot"	"Year"	"LUI"	"Poa_tri"	"Poa_pra"	"Alo_pra"	"Dac_glo"	"Tri_rep"	"Tar_off"	"Lol_per"	"Arr_ela"	"Fes_rub"	"Fes_pra"	"Tri_fla"	"Ely_rep"	"Tri_pra"	"Ran_rep"	"Bro_ere"	"Ran_acr"	"Bro_hor"	"Pla_lan"	"Ant_syl"	"Her_sph"	"Gal_mol"	"Hol_lan"	"Hel_pub"	"Car_hir"	"Bra_pin"	"Pha_aru"
"AEG01"	2008	1.74	1	1	0	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	0
"AEG02"	2008	2.74	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"AEG03"	2008	2.22	1	0	0	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0
"AEG04"	2008	1.71	1	0	1	1	0	1	1	1	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0
"AEG05"	2008	1.88	1	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0
"AEG06"	2008	2.86	1	0	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0
"AEG07"	2008	0.47	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
"AEG08"	2008	1.36	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0
"AEG09"	2008	0.56	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0
"AEG10"	2008	0.99	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0
"AEG11"	2008	2.01	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0
"AEG12"	2008	1.74	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0
"AEG13"	2008	1.74	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0
"AEG14"	2008	2.23	1	0	0	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0
"AEG15"	2008	2.63	1	0	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0
"AEG16"	2008	1.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AEG17"	2008	2.33	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0
"AEG18"	2008	2.44	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0
"AEG19"	2008	3.27	1	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0
"AEG20"	2008	2.03	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0
"AEG21"	2008	4.57	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0
"AEG22"	2008	0.99	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0
"AEG23"	2008	1.4	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0
"AEG24"	2008	2.36	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0
"AEG25"	2008	0.67	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
"AEG26"	2008	1.45	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0
"AEG27"	2008	1.34	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0
"AEG28"	2008	0.7	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0
"AEG29"	2008	1.42	1	0	0	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0
"AEG30"	2008	1.01	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0
"AEG31"	2008	0.7	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0
"AEG32"	2008	0.58	0	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0
"AEG33"	2008	1.63	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0
"AEG34"	2008	1.03	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0
"AEG35"	2008	1.74	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0
"AEG36"	2008	1.74	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0
"AEG37"	2008	1.74	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0
"AEG38"	2008	1.4	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0
"AEG39"	2008	1.74	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0
"AEG40"	2008	2.06	1	1	0	1	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0
"AEG41"	2008	2.3	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	0
"AEG42"	2008	2.42	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0
"AEG43"	2008	2.13	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0
"AEG44"	2008	2.06	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	0
"AEG45"	2008	1.4	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0
"AEG46"	2008	1.53	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0
"AEG47"	2008	0.58	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0
"AEG48"	2008	0.72	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
"AEG49"	2008	1.12	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0
"AEG50"	2008	2.24	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"HEG01"	2008	2.72	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HEG02"	2008	2.19	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"HEG03"	2008	2.19	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
"HEG04"	2008	1.97	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
"HEG05"	2008	2.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HEG06"	2008	1.88	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0
"HEG07"	2008	1.64	0	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0
"HEG08"	2008	1.64	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
"HEG09"	2008	0.77	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0
"HEG10"	2008	0.99	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0
"HEG11"	2008	0.99	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
"HEG12"	2008	2.29	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"HEG13"	2008	1.84	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
"HEG14"	2008	2.68	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
"HEG15"	2008	1.79	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0
