"Plot"	"Year"	"LUI"	"rich_26spp"
"AEG01"	"2008"	1.74	16
"AEG02"	"2008"	2.74	8
"AEG03"	"2008"	2.22	14
"AEG04"	"2008"	1.71	12
"AEG05"	"2008"	1.88	13
"AEG06"	"2008"	2.86	15
"AEG07"	"2008"	0.47	6
"AEG08"	"2008"	1.36	15
"AEG09"	"2008"	0.56	8
"AEG10"	"2008"	0.99	16
"AEG11"	"2008"	2.01	16
"AEG12"	"2008"	1.74	17
"AEG13"	"2008"	1.74	15
"AEG14"	"2008"	2.23	14
"AEG15"	"2008"	2.63	13
"AEG16"	"2008"	1.88	0
"AEG17"	"2008"	2.33	16
"AEG18"	"2008"	2.44	17
"AEG19"	"2008"	3.27	14
"AEG20"	"2008"	2.03	13
"AEG21"	"2008"	4.57	14
"AEG22"	"2008"	0.99	10
"AEG23"	"2008"	1.4	18
"AEG24"	"2008"	2.36	13
"AEG25"	"2008"	0.67	8
"AEG26"	"2008"	1.45	4
"AEG27"	"2008"	1.34	6
"AEG28"	"2008"	0.7	16
"AEG29"	"2008"	1.42	12
"AEG30"	"2008"	1.01	17
"AEG31"	"2008"	0.7	15
"AEG32"	"2008"	0.58	13
"AEG33"	"2008"	1.63	15
"AEG34"	"2008"	1.03	15
"AEG35"	"2008"	1.74	13
"AEG36"	"2008"	1.74	16
"AEG37"	"2008"	1.74	12
"AEG38"	"2008"	1.4	17
"AEG39"	"2008"	1.74	13
"AEG40"	"2008"	2.06	15
"AEG41"	"2008"	2.3	17
"AEG42"	"2008"	2.42	15
"AEG43"	"2008"	2.13	17
"AEG44"	"2008"	2.06	17
"AEG45"	"2008"	1.4	14
"AEG46"	"2008"	1.53	15
"AEG47"	"2008"	0.58	8
"AEG48"	"2008"	0.72	3
"AEG49"	"2008"	1.12	13
"AEG50"	"2008"	2.24	5
"HEG01"	"2008"	2.72	4
"HEG02"	"2008"	2.19	8
"HEG03"	"2008"	2.19	11
"HEG04"	"2008"	1.97	8
"HEG05"	"2008"	2.24	0
"HEG06"	"2008"	1.88	12
"HEG07"	"2008"	1.64	11
"HEG08"	"2008"	1.64	11
"HEG09"	"2008"	0.77	12
"HEG10"	"2008"	0.99	13
"HEG11"	"2008"	0.99	9
"HEG12"	"2008"	2.29	7
"HEG13"	"2008"	1.84	8
"HEG14"	"2008"	2.68	8
"HEG15"	"2008"	1.79	15
"HEG16"	"2008"	0.96	13
"HEG17"	"2008"	0.63	12
"HEG18"	"2008"	0.84	12
"HEG19"	"2008"	0.63	12
"HEG20"	"2008"	0.67	15
"HEG21"	"2008"	0.53	9
"HEG22"	"2008"	1.53	10
"HEG23"	"2008"	1.57	9
"HEG24"	"2008"	1.66	0
"HEG25"	"2008"	1.81	8
"HEG26"	"2008"	0.99	9
"HEG27"	"2008"	1.68	13
"HEG28"	"2008"	2.21	8
"HEG29"	"2008"	1.55	11
"HEG30"	"2008"	2.33	14
"HEG31"	"2008"	1.87	13
"HEG32"	"2008"	1.84	6
"HEG33"	"2008"	1.98	8
"HEG34"	"2008"	1.88	9
"HEG35"	"2008"	1.9	10
"HEG36"	"2008"	2.06	13
"HEG37"	"2008"	2.08	7
"HEG38"	"2008"	1.49	9
"HEG39"	"2008"	1.67	13
"HEG40"	"2008"	0.59	12
"HEG41"	"2008"	0.67	11
"HEG42"	"2008"	0.63	13
"HEG43"	"2008"	0.85	8
"HEG44"	"2008"	0.96	11
"HEG45"	"2008"	0.38	16
"HEG46"	"2008"	0.42	8
"HEG47"	"2008"	1.35	12
"HEG48"	"2008"	1.76	12
"HEG49"	"2008"	2.66	15
"HEG50"	"2008"	2.6	10
"SEG01"	"2008"	2.45	9
"SEG02"	"2008"	1.88	10
"SEG03"	"2008"	1.91	9
"SEG04"	"2008"	0.99	5
"SEG05"	"2008"	0.99	7
"SEG06"	"2008"	1.12	7
"SEG07"	"2008"	1.99	9
"SEG08"	"2008"	1.4	9
"SEG09"	"2008"	1.36	7
"SEG10"	"2008"	1.91	6
"SEG11"	"2008"	1.91	9
"SEG12"	"2008"	2.45	9
"SEG13"	"2008"	2.23	14
"SEG14"	"2008"	0.99	9
"SEG15"	"2008"	0.99	11
"SEG16"	"2008"	0.99	7
"SEG17"	"2008"	1.23	11
"SEG18"	"2008"	1.4	5
"SEG19"	"2008"	0.99	9
"SEG20"	"2008"	1.17	8
"SEG21"	"2008"	2.08	7
"SEG22"	"2008"	1.11	11
"SEG23"	"2008"	1.4	5
"SEG24"	"2008"	1.4	9
"SEG25"	"2008"	1.4	9
"SEG26"	"2008"	0.99	7
"SEG27"	"2008"	0.99	8
"SEG28"	"2008"	1.4	6
"SEG29"	"2008"	0.99	6
"SEG30"	"2008"	0.99	8
"SEG31"	"2008"	0.99	8
"SEG32"	"2008"	0.99	7
"SEG33"	"2008"	1.38	7
"SEG34"	"2008"	2.42	8
"SEG35"	"2008"	2.42	7
"SEG36"	"2008"	2.02	12
"SEG37"	"2008"	1.3	9
"SEG38"	"2008"	1.92	9
"SEG39"	"2008"	0.99	8
"SEG40"	"2008"	1.77	10
"SEG41"	"2008"	1.83	5
"SEG42"	"2008"	4.23	12
"SEG43"	"2008"	1.65	9
"SEG44"	"2008"	1.56	13
"SEG45"	"2008"	0.92	13
"SEG46"	"2008"	1.18	7
"SEG47"	"2008"	1.21	11
"SEG48"	"2008"	1.36	9
"SEG49"	"2008"	1.61	9
"SEG50"	"2008"	0.81	12
"AEG01"	"2009"	1.78	14
"AEG02"	"2009"	3.37	10
"AEG03"	"2009"	1.96	15
"AEG04"	"2009"	1.56	13
"AEG05"	"2009"	1.66	12
"AEG06"	"2009"	1.91	17
"AEG07"	"2009"	0.58	5
"AEG08"	"2009"	1.46	13
"AEG09"	"2009"	0.51	9
"AEG10"	"2009"	1.02	14
"AEG11"	"2009"	2	14
"AEG12"	"2009"	2.17	14
"AEG13"	"2009"	2.17	15
"AEG14"	"2009"	2.17	14
"AEG15"	"2009"	2.58	14
"AEG16"	"2009"	1.57	15
"AEG17"	"2009"	2.07	17
"AEG18"	"2009"	2.17	16
