"Plot"	"Year"	"LUI"	"rich_full"
"AEG01"	"2008"	1.74	30
"AEG02"	"2008"	2.74	17
"AEG03"	"2008"	2.22	25
"AEG04"	"2008"	1.71	18
"AEG05"	"2008"	1.88	20
"AEG06"	"2008"	2.86	28
"AEG07"	"2008"	0.47	44
"AEG08"	"2008"	1.36	38
"AEG09"	"2008"	0.56	49
"AEG10"	"2008"	0.99	34
"AEG11"	"2008"	2.01	34
"AEG12"	"2008"	1.74	29
"AEG13"	"2008"	1.74	26
"AEG14"	"2008"	2.23	22
"AEG15"	"2008"	2.63	26
"AEG16"	"2008"	1.88	0
"AEG17"	"2008"	2.33	33
"AEG18"	"2008"	2.44	26
"AEG19"	"2008"	3.27	19
"AEG20"	"2008"	2.03	25
"AEG21"	"2008"	4.57	22
"AEG22"	"2008"	0.99	39
"AEG23"	"2008"	1.4	33
"AEG24"	"2008"	2.36	22
"AEG25"	"2008"	0.67	54
"AEG26"	"2008"	1.45	47
"AEG27"	"2008"	1.34	43
"AEG28"	"2008"	0.7	49
"AEG29"	"2008"	1.42	30
"AEG30"	"2008"	1.01	39
"AEG31"	"2008"	0.7	36
"AEG32"	"2008"	0.58	29
"AEG33"	"2008"	1.63	43
"AEG34"	"2008"	1.03	32
"AEG35"	"2008"	1.74	22
"AEG36"	"2008"	1.74	27
"AEG37"	"2008"	1.74	26
"AEG38"	"2008"	1.4	32
"AEG39"	"2008"	1.74	20
"AEG40"	"2008"	2.06	30
"AEG41"	"2008"	2.3	29
"AEG42"	"2008"	2.42	24
"AEG43"	"2008"	2.13	29
"AEG44"	"2008"	2.06	30
"AEG45"	"2008"	1.4	27
"AEG46"	"2008"	1.53	28
"AEG47"	"2008"	0.58	45
"AEG48"	"2008"	0.72	40
"AEG49"	"2008"	1.12	39
"AEG50"	"2008"	2.24	8
"HEG01"	"2008"	2.72	12
"HEG02"	"2008"	2.19	14
"HEG03"	"2008"	2.19	19
"HEG04"	"2008"	1.97	13
"HEG05"	"2008"	2.24	0
"HEG06"	"2008"	1.88	19
"HEG07"	"2008"	1.64	27
"HEG08"	"2008"	1.64	21
"HEG09"	"2008"	0.77	37
"HEG10"	"2008"	0.99	21
"HEG11"	"2008"	0.99	25
"HEG12"	"2008"	2.29	19
"HEG13"	"2008"	1.84	15
"HEG14"	"2008"	2.68	19
"HEG15"	"2008"	1.79	21
"HEG16"	"2008"	0.96	21
"HEG17"	"2008"	0.63	35
"HEG18"	"2008"	0.84	42
"HEG19"	"2008"	0.63	24
"HEG20"	"2008"	0.67	40
"HEG21"	"2008"	0.53	29
"HEG22"	"2008"	1.53	16
"HEG23"	"2008"	1.57	28
"HEG24"	"2008"	1.66	0
"HEG25"	"2008"	1.81	20
"HEG26"	"2008"	0.99	18
"HEG27"	"2008"	1.68	30
"HEG28"	"2008"	2.21	18
"HEG29"	"2008"	1.55	23
"HEG30"	"2008"	2.33	25
"HEG31"	"2008"	1.87	35
"HEG32"	"2008"	1.84	11
"HEG33"	"2008"	1.98	15
"HEG34"	"2008"	1.88	16
"HEG35"	"2008"	1.9	20
"HEG36"	"2008"	2.06	24
"HEG37"	"2008"	2.08	13
"HEG38"	"2008"	1.49	19
"HEG39"	"2008"	1.67	23
"HEG40"	"2008"	0.59	23
"HEG41"	"2008"	0.67	41
"HEG42"	"2008"	0.63	39
"HEG43"	"2008"	0.85	40
"HEG44"	"2008"	0.96	32
"HEG45"	"2008"	0.38	35
"HEG46"	"2008"	0.42	35
"HEG47"	"2008"	1.35	21
"HEG48"	"2008"	1.76	22
"HEG49"	"2008"	2.66	26
"HEG50"	"2008"	2.6	21
"SEG01"	"2008"	2.45	16
"SEG02"	"2008"	1.88	20
"SEG03"	"2008"	1.91	18
"SEG04"	"2008"	0.99	13
"SEG05"	"2008"	0.99	13
"SEG06"	"2008"	1.12	18
"SEG07"	"2008"	1.99	15
"SEG08"	"2008"	1.4	18
"SEG09"	"2008"	1.36	13
"SEG10"	"2008"	1.91	14
"SEG11"	"2008"	1.91	18
"SEG12"	"2008"	2.45	15
"SEG13"	"2008"	2.23	17
"SEG14"	"2008"	0.99	12
"SEG15"	"2008"	0.99	19
"SEG16"	"2008"	0.99	11
"SEG17"	"2008"	1.23	22
"SEG18"	"2008"	1.4	9
"SEG19"	"2008"	0.99	21
"SEG20"	"2008"	1.17	14
"SEG21"	"2008"	2.08	14
"SEG22"	"2008"	1.11	15
"SEG23"	"2008"	1.4	9
"SEG24"	"2008"	1.4	20
"SEG25"	"2008"	1.4	19
"SEG26"	"2008"	0.99	15
"SEG27"	"2008"	0.99	11
"SEG28"	"2008"	1.4	13
"SEG29"	"2008"	0.99	13
"SEG30"	"2008"	0.99	16
"SEG31"	"2008"	0.99	14
"SEG32"	"2008"	0.99	16
"SEG33"	"2008"	1.38	10
"SEG34"	"2008"	2.42	14
"SEG35"	"2008"	2.42	9
"SEG36"	"2008"	2.02	16
"SEG37"	"2008"	1.3	22
"SEG38"	"2008"	1.92	15
"SEG39"	"2008"	0.99	18
"SEG40"	"2008"	1.77	22
"SEG41"	"2008"	1.83	10
"SEG42"	"2008"	4.23	17
"SEG43"	"2008"	1.65	14
"SEG44"	"2008"	1.56	20
"SEG45"	"2008"	0.92	21
"SEG46"	"2008"	1.18	10
"SEG47"	"2008"	1.21	14
"SEG48"	"2008"	1.36	16
"SEG49"	"2008"	1.61	17
"SEG50"	"2008"	0.81	21
"AEG01"	"2009"	1.78	26
"AEG02"	"2009"	3.37	16
"AEG03"	"2009"	1.96	27
"AEG04"	"2009"	1.56	20
"AEG05"	"2009"	1.66	20
"AEG06"	"2009"	1.91	33
"AEG07"	"2009"	0.58	43
"AEG08"	"2009"	1.46	40
"AEG09"	"2009"	0.51	53
"AEG10"	"2009"	1.02	52
"AEG11"	"2009"	2	28
"AEG12"	"2009"	2.17	26
"AEG13"	"2009"	2.17	26
"AEG14"	"2009"	2.17	22
"AEG15"	"2009"	2.58	23
"AEG16"	"2009"	1.57	24
"AEG17"	"2009"	2.07	37
"AEG18"	"2009"	2.17	25
"AEG19"	"2009"	2.2	24
"AEG20"	"2009"	1.19	27
"AEG21"	"2009"	3.8	22
"AEG22"	"2009"	1.16	36
"AEG23"	"2009"	1.02	27
