"species","richness","LUI","feasible"
"Poa_tri","2","0.5",1
"Poa_tri","2","0.75",1
"Poa_tri","2","1",1
"Poa_tri","2","1.25",1
"Poa_tri","2","1.5",1
"Poa_tri","2","1.75",1
"Poa_tri","2","2",1
"Poa_tri","2","2.25",1
"Poa_tri","2","2.5",1
"Poa_tri","2","2.75",1
"Poa_tri","2","3",1
"Poa_tri","3","0.5",0
"Poa_tri","3","0.75",0
"Poa_tri","3","1",0
"Poa_tri","3","1.25",0
"Poa_tri","3","1.5",0
"Poa_tri","3","1.75",0
"Poa_tri","3","2",0
"Poa_tri","3","2.25",0
"Poa_tri","3","2.5",0
"Poa_tri","3","2.75",0
"Poa_tri","3","3",0
"Poa_tri","5","0.5",1
"Poa_tri","5","0.75",1
"Poa_tri","5","1",1
"Poa_tri","5","1.25",1
"Poa_tri","5","1.5",1
"Poa_tri","5","1.75",1
"Poa_tri","5","2",1
"Poa_tri","5","2.25",1
"Poa_tri","5","2.5",1
"Poa_tri","5","2.75",1
"Poa_tri","5","3",1
"Poa_tri","7","0.5",0
"Poa_tri","7","0.75",0
"Poa_tri","7","1",0
"Poa_tri","7","1.25",0
"Poa_tri","7","1.5",0
"Poa_tri","7","1.75",0
"Poa_tri","7","2",0
"Poa_tri","7","2.25",0
"Poa_tri","7","2.5",0
"Poa_tri","7","2.75",0
"Poa_tri","7","3",0
"Poa_tri","11","0.5",0
"Poa_tri","11","0.75",0
"Poa_tri","11","1",0
"Poa_tri","11","1.25",0
"Poa_tri","11","1.5",0
"Poa_tri","11","1.75",0
"Poa_tri","11","2",0
"Poa_tri","11","2.25",0
"Poa_tri","11","2.5",0
"Poa_tri","11","2.75",0
"Poa_tri","11","3",0
"Alo_pra","2","0.5",1
"Alo_pra","2","0.75",1
"Alo_pra","2","1",1
"Alo_pra","2","1.25",1
"Alo_pra","2","1.5",1
"Alo_pra","2","1.75",1
"Alo_pra","2","2",1
"Alo_pra","2","2.25",1
"Alo_pra","2","2.5",1
"Alo_pra","2","2.75",1
"Alo_pra","2","3",1
"Alo_pra","3","0.5",1
"Alo_pra","3","0.75",1
"Alo_pra","3","1",1
"Alo_pra","3","1.25",1
"Alo_pra","3","1.5",1
"Alo_pra","3","1.75",1
"Alo_pra","3","2",1
"Alo_pra","3","2.25",1
"Alo_pra","3","2.5",1
"Alo_pra","3","2.75",1
"Alo_pra","3","3",1
"Alo_pra","5","0.5",1
"Alo_pra","5","0.75",1
"Alo_pra","5","1",1
"Alo_pra","5","1.25",1
"Alo_pra","5","1.5",1
"Alo_pra","5","1.75",1
"Alo_pra","5","2",1
"Alo_pra","5","2.25",1
"Alo_pra","5","2.5",1
"Alo_pra","5","2.75",1
"Alo_pra","5","3",1
"Alo_pra","7","0.5",1
"Alo_pra","7","0.75",1
"Alo_pra","7","1",1
"Alo_pra","7","1.25",1
"Alo_pra","7","1.5",1
"Alo_pra","7","1.75",1
"Alo_pra","7","2",1
"Alo_pra","7","2.25",1
"Alo_pra","7","2.5",1
"Alo_pra","7","2.75",1
"Alo_pra","7","3",1
"Alo_pra","11","0.5",1
"Alo_pra","11","0.75",1
"Alo_pra","11","1",1
"Alo_pra","11","1.25",1
"Alo_pra","11","1.5",1
"Alo_pra","11","1.75",1
"Alo_pra","11","2",1
"Alo_pra","11","2.25",1
"Alo_pra","11","2.5",1
"Alo_pra","11","2.75",1
"Alo_pra","11","3",1
"Arr_ela","2","0.5",1
"Arr_ela","2","0.75",1
"Arr_ela","2","1",1
"Arr_ela","2","1.25",1
"Arr_ela","2","1.5",1
"Arr_ela","2","1.75",1
"Arr_ela","2","2",1
"Arr_ela","2","2.25",1
"Arr_ela","2","2.5",1
"Arr_ela","2","2.75",0
"Arr_ela","2","3",0
"Arr_ela","3","0.5",1
"Arr_ela","3","0.75",1
"Arr_ela","3","1",1
"Arr_ela","3","1.25",1
"Arr_ela","3","1.5",1
"Arr_ela","3","1.75",1
"Arr_ela","3","2",1
"Arr_ela","3","2.25",1
"Arr_ela","3","2.5",1
"Arr_ela","3","2.75",0
"Arr_ela","3","3",0
"Arr_ela","5","0.5",1
"Arr_ela","5","0.75",1
"Arr_ela","5","1",1
"Arr_ela","5","1.25",1
"Arr_ela","5","1.5",1
"Arr_ela","5","1.75",1
"Arr_ela","5","2",1
"Arr_ela","5","2.25",1
"Arr_ela","5","2.5",1
"Arr_ela","5","2.75",1
"Arr_ela","5","3",1
"Arr_ela","7","0.5",1
"Arr_ela","7","0.75",1
"Arr_ela","7","1",1
"Arr_ela","7","1.25",1
"Arr_ela","7","1.5",1
"Arr_ela","7","1.75",1
"Arr_ela","7","2",1
"Arr_ela","7","2.25",1
"Arr_ela","7","2.5",1
"Arr_ela","7","2.75",1
"Arr_ela","7","3",1
"Arr_ela","11","0.5",1
"Arr_ela","11","0.75",1
"Arr_ela","11","1",1
"Arr_ela","11","1.25",1
"Arr_ela","11","1.5",1
"Arr_ela","11","1.75",1
"Arr_ela","11","2",1
"Arr_ela","11","2.25",1
"Arr_ela","11","2.5",1
"Arr_ela","11","2.75",1
"Arr_ela","11","3",1
"Tri_pra","2","0.5",1
"Tri_pra","2","0.75",1
"Tri_pra","2","1",1
"Tri_pra","2","1.25",1
"Tri_pra","2","1.5",1
"Tri_pra","2","1.75",1
"Tri_pra","2","2",1
"Tri_pra","2","2.25",1
"Tri_pra","2","2.5",1
"Tri_pra","2","2.75",1
"Tri_pra","2","3",1
"Tri_pra","3","0.5",1
"Tri_pra","3","0.75",1
"Tri_pra","3","1",1
"Tri_pra","3","1.25",1
"Tri_pra","3","1.5",1
"Tri_pra","3","1.75",1
"Tri_pra","3","2",1
"Tri_pra","3","2.25",1
"Tri_pra","3","2.5",1
"Tri_pra","3","2.75",1
"Tri_pra","3","3",1
"Tri_pra","5","0.5",1
"Tri_pra","5","0.75",1
"Tri_pra","5","1",1
"Tri_pra","5","1.25",1
"Tri_pra","5","1.5",1
"Tri_pra","5","1.75",1
"Tri_pra","5","2",1
"Tri_pra","5","2.25",1
"Tri_pra","5","2.5",1
"Tri_pra","5","2.75",1
"Tri_pra","5","3",1
"Tri_pra","7","0.5",1
"Tri_pra","7","0.75",1
"Tri_pra","7","1",1
"Tri_pra","7","1.25",1
"Tri_pra","7","1.5",1
"Tri_pra","7","1.75",1
"Tri_pra","7","2",1
"Tri_pra","7","2.25",1
"Tri_pra","7","2.5",1
"Tri_pra","7","2.75",1
"Tri_pra","7","3",1
"Tri_pra","11","0.5",1
"Tri_pra","11","0.75",1
"Tri_pra","11","1",1
"Tri_pra","11","1.25",1
"Tri_pra","11","1.5",1
"Tri_pra","11","1.75",1
"Tri_pra","11","2",1
"Tri_pra","11","2.25",1
"Tri_pra","11","2.5",1
"Tri_pra","11","2.75",1
"Tri_pra","11","3",1
"Ran_rep","2","0.5",1
"Ran_rep","2","0.75",1
"Ran_rep","2","1",1
"Ran_rep","2","1.25",1
"Ran_rep","2","1.5",1
"Ran_rep","2","1.75",1
"Ran_rep","2","2",1
"Ran_rep","2","2.25",1
"Ran_rep","2","2.5",1
"Ran_rep","2","2.75",1
