"species","richness","LUI","feasible"
"Poa_tri","2","0.5",1
"Poa_tri","2","0.75",1
"Poa_tri","2","1",1
"Poa_tri","2","1.25",1
"Poa_tri","2","1.5",1
"Poa_tri","2","1.75",1
"Poa_tri","2","2",1
"Poa_tri","2","2.25",1
"Poa_tri","2","2.5",1
"Poa_tri","2","2.75",1
"Poa_tri","2","3",1
"Alo_pra","2","0.5",1
"Alo_pra","2","0.75",1
"Alo_pra","2","1",1
"Alo_pra","2","1.25",1
"Alo_pra","2","1.5",1
"Alo_pra","2","1.75",1
"Alo_pra","2","2",1
"Alo_pra","2","2.25",1
"Alo_pra","2","2.5",1
"Alo_pra","2","2.75",1
"Alo_pra","2","3",1
"Arr_ela","2","0.5",1
"Arr_ela","2","0.75",1
"Arr_ela","2","1",1
"Arr_ela","2","1.25",1
"Arr_ela","2","1.5",1
"Arr_ela","2","1.75",1
"Arr_ela","2","2",1
"Arr_ela","2","2.25",1
"Arr_ela","2","2.5",1
"Arr_ela","2","2.75",0
"Arr_ela","2","3",0
"Tri_pra","2","0.5",1
"Tri_pra","2","0.75",1
"Tri_pra","2","1",1
"Tri_pra","2","1.25",1
"Tri_pra","2","1.5",1
"Tri_pra","2","1.75",1
"Tri_pra","2","2",1
"Tri_pra","2","2.25",1
"Tri_pra","2","2.5",1
"Tri_pra","2","2.75",1
"Tri_pra","2","3",1
"Ran_rep","2","0.5",1
"Ran_rep","2","0.75",1
"Ran_rep","2","1",1
"Ran_rep","2","1.25",1
"Ran_rep","2","1.5",1
"Ran_rep","2","1.75",1
"Ran_rep","2","2",1
"Ran_rep","2","2.25",1
"Ran_rep","2","2.5",1
"Ran_rep","2","2.75",1
"Ran_rep","2","3",1
"Bro_ere","2","0.5",1
"Bro_ere","2","0.75",1
"Bro_ere","2","1",1
"Bro_ere","2","1.25",1
"Bro_ere","2","1.5",1
"Bro_ere","2","1.75",1
"Bro_ere","2","2",1
"Bro_ere","2","2.25",0
"Bro_ere","2","2.5",0
"Bro_ere","2","2.75",0
"Bro_ere","2","3",0
"Ran_acr","2","0.5",1
"Ran_acr","2","0.75",1
"Ran_acr","2","1",1
"Ran_acr","2","1.25",1
"Ran_acr","2","1.5",0
"Ran_acr","2","1.75",0
"Ran_acr","2","2",0
"Ran_acr","2","2.25",0
"Ran_acr","2","2.5",0
"Ran_acr","2","2.75",0
"Ran_acr","2","3",0
"Pla_lan","2","0.5",1
"Pla_lan","2","0.75",1
"Pla_lan","2","1",1
"Pla_lan","2","1.25",1
"Pla_lan","2","1.5",1
"Pla_lan","2","1.75",1
"Pla_lan","2","2",1
"Pla_lan","2","2.25",1
"Pla_lan","2","2.5",1
"Pla_lan","2","2.75",1
"Pla_lan","2","3",1
"Ach_mil","2","0.5",1
"Ach_mil","2","0.75",1
"Ach_mil","2","1",1
"Ach_mil","2","1.25",1
"Ach_mil","2","1.5",1
"Ach_mil","2","1.75",1
"Ach_mil","2","2",1
"Ach_mil","2","2.25",1
"Ach_mil","2","2.5",1
"Ach_mil","2","2.75",1
"Ach_mil","2","3",1
"Ant_syl","2","0.5",1
"Ant_syl","2","0.75",1
"Ant_syl","2","1",1
"Ant_syl","2","1.25",1
"Ant_syl","2","1.5",1
"Ant_syl","2","1.75",1
"Ant_syl","2","2",0
"Ant_syl","2","2.25",0
"Ant_syl","2","2.5",0
"Ant_syl","2","2.75",0
"Ant_syl","2","3",0
"Her_sph","2","0.5",1
"Her_sph","2","0.75",1
"Her_sph","2","1",1
"Her_sph","2","1.25",0
"Her_sph","2","1.5",0
"Her_sph","2","1.75",0
"Her_sph","2","2",0
"Her_sph","2","2.25",0
"Her_sph","2","2.5",0
"Her_sph","2","2.75",0
"Her_sph","2","3",0
"Hel_pub","2","0.5",1
"Hel_pub","2","0.75",1
"Hel_pub","2","1",1
"Hel_pub","2","1.25",1
"Hel_pub","2","1.5",1
"Hel_pub","2","1.75",1
"Hel_pub","2","2",1
"Hel_pub","2","2.25",0
"Hel_pub","2","2.5",0
"Hel_pub","2","2.75",0
"Hel_pub","2","3",0
"Bra_pin","2","0.5",1
"Bra_pin","2","0.75",1
"Bra_pin","2","1",1
"Bra_pin","2","1.25",1
"Bra_pin","2","1.5",1
"Bra_pin","2","1.75",1
"Bra_pin","2","2",0
"Bra_pin","2","2.25",0
"Bra_pin","2","2.5",0
"Bra_pin","2","2.75",0
"Bra_pin","2","3",0
"Pha_aru","2","0.5",1
"Pha_aru","2","0.75",1
"Pha_aru","2","1",1
"Pha_aru","2","1.25",1
"Pha_aru","2","1.5",1
"Pha_aru","2","1.75",1
"Pha_aru","2","2",1
"Pha_aru","2","2.25",1
"Pha_aru","2","2.5",1
"Pha_aru","2","2.75",1
"Pha_aru","2","3",1
"Ant_odo","2","0.5",1
"Ant_odo","2","0.75",0
"Ant_odo","2","1",0
"Ant_odo","2","1.25",0
"Ant_odo","2","1.5",0
"Ant_odo","2","1.75",0
"Ant_odo","2","2",0
"Ant_odo","2","2.25",0
"Ant_odo","2","2.5",0
"Ant_odo","2","2.75",0
"Ant_odo","2","3",0
"Ver_cha","2","0.5",1
"Ver_cha","2","0.75",1
"Ver_cha","2","1",1
"Ver_cha","2","1.25",1
"Ver_cha","2","1.5",1
"Ver_cha","2","1.75",0
"Ver_cha","2","2",0
"Ver_cha","2","2.25",0
"Ver_cha","2","2.5",0
"Ver_cha","2","2.75",0
"Ver_cha","2","3",0
"Fes_ovi","2","0.5",1
"Fes_ovi","2","0.75",1
"Fes_ovi","2","1",1
"Fes_ovi","2","1.25",1
"Fes_ovi","2","1.5",1
"Fes_ovi","2","1.75",1
"Fes_ovi","2","2",1
"Fes_ovi","2","2.25",0
"Fes_ovi","2","2.5",0
"Fes_ovi","2","2.75",0
"Fes_ovi","2","3",0
"Rum_ace","2","0.5",1
"Rum_ace","2","0.75",1
"Rum_ace","2","1",1
"Rum_ace","2","1.25",1
"Rum_ace","2","1.5",1
"Rum_ace","2","1.75",1
"Rum_ace","2","2",1
"Rum_ace","2","2.25",1
"Rum_ace","2","2.5",1
"Rum_ace","2","2.75",1
"Rum_ace","2","3",1
"Des_ces","2","0.5",1
"Des_ces","2","0.75",1
"Des_ces","2","1",1
"Des_ces","2","1.25",1
"Des_ces","2","1.5",1
"Des_ces","2","1.75",1
"Des_ces","2","2",1
"Des_ces","2","2.25",1
"Des_ces","2","2.5",1
"Des_ces","2","2.75",1
"Des_ces","2","3",1
"Agr_sto","2","0.5",1
"Agr_sto","2","0.75",1
"Agr_sto","2","1",1
"Agr_sto","2","1.25",1
"Agr_sto","2","1.5",1
"Agr_sto","2","1.75",1
"Agr_sto","2","2",1
"Agr_sto","2","2.25",1
"Agr_sto","2","2.5",1
"Agr_sto","2","2.75",1
"Agr_sto","2","3",1
"Cre_bie","2","0.5",1
"Cre_bie","2","0.75",1
"Cre_bie","2","1",1
"Cre_bie","2","1.25",1
"Cre_bie","2","1.5",1
"Cre_bie","2","1.75",0
"Cre_bie","2","2",0
"Cre_bie","2","2.25",0
"Cre_bie","2","2.5",0
"Cre_bie","2","2.75",0
"Cre_bie","2","3",0
