"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Bro_ere","Ran_rep","Bro_hor","Ran_acr","Pla_lan","Ach_mil","Gal_mol","Her_sph","Ant_syl","Hol_lan","Hel_pub","Ant_odo","Bra_pin","Car_hir","Ver_cha","Rum_ace","Fes_ovi","Phl_pra","Pha_aru","Des_ces","Agr_sto","Cyn_cri","Cir_ole","Cer_hol","Pla_med","Cre_bie","Urt_dio","Thy_pul","Lol_mul","Cir_arv","Lot_cor","Ran_bul","Tri_dub","Med_lup","Leo_his","Car_car","Vic_sep","Pru_sp"
"Poa_tri",1.08519047149629,1.06938787765513,0.983399763867086,1.15257020148598,1.08180272745296,1.25484767310139,1.18048682494931,1.13073998736648,1.33205659465123,1.41398526177497,1.81280976836494,1.39572136490773,2.40355056446597,1.43949310628421,2.1866124449236,1.98791064887787,3.40093819001327,3.76294303962462,2.64668114471755,2.97393540533939,3.31971335481217,2.91797200386806,2.0715821797253,2.33972632961153,2.57123813610186,2.58302818636378,3.53798123998344,2.8120868903621,4.57338384539262,2.75428387059151,3.16967383348647,4.50428993457575,4.23412066745397,2.72106661101514,5.60678989333974,4.76926334075091,9.79830701716233,4.87615682109176,4.74609165759202,3.45606505002887,4.52857328707868,3.61399536930783,7.14167201127251,6.86338613667266,7.69396094517237,5.40557039602904,5.53331256869098,3.30513220350229,4.22484718750317,10.6419259870926,5.18743475746147
"Poa_pra",1.03048855588927,1.01605292426907,0.931991970405985,1.09441733266628,1.02566370488035,1.18911798567137,1.11960736034224,1.07455147902204,1.26303810858693,1.3417386797792,1.7236132360021,1.32274467916113,2.284965450939,1.37029028133505,2.07473766549166,1.88796263997884,3.23775614445026,3.56507255160765,2.51292134649244,2.81262900098137,3.13202348437228,2.7622063311592,1.96585697518869,2.22056170098707,2.44658069631797,2.45339265806896,3.37878494329997,2.66182723425562,4.33853234646636,2.58458204136709,2.99108791064752,4.24802158044168,4.01510722085714,2.58293861910312,5.33627798871835,4.48794758376217,9.31849295520228,4.6092886064019,4.49358136179517,3.30461945532181,4.31484672547705,3.4284029831892,6.79120012726417,6.52628744664889,7.29565875862417,5.13355846176955,5.2820653696179,3.17937956591771,4.00232514357928,10.0628756181188,4.92652612933446
"Alo_pra",0.687747485355308,0.677267899624254,0.616154906477473,0.728146538039445,0.683306912102139,0.787412974038505,0.745078719626441,0.716510583235571,0.835581072844693,0.890114715050215,1.14741414220144,0.879510935289151,1.5302114471279,0.904885117708514,1.38914918870264,1.25821815499144,2.15868246810963,2.37251258580377,1.66129509218048,1.8485273623662,2.0556832894423,1.83735968718831,1.31776345662733,1.45662878901622,1.62755660478896,1.63985627119632,2.25460637422289,1.73541969158812,2.9076920100178,1.68733823191693,1.99678829660114,2.77867770383303,2.62056673263638,1.69897000851391,3.54961891606491,2.95562222296779,6.2894097886079,3.04703114785408,2.99228937502711,2.23678047119824,2.88794494797724,2.2859484812357,4.5547641393552,4.35589598913006,4.85277033712119,3.45661523863035,3.56866846064426,2.18323784284106,2.58764040743152,6.62177273474079,3.27261997793881
"Dac_glo",0.839903411106366,0.827681837024982,0.761242674025113,0.892092688996214,0.837318669705065,0.971345021394481,0.913708382122974,0.875158131229074,1.03112001213398,1.09446997879186,1.40307139001286,1.08032109644924,1.86012647709678,1.11424316702947,1.69233186297208,1.53863479342994,2.63213130331409,2.91259763338923,2.04867670903056,2.30235165736508,2.5701792230482,2.25866610729107,1.60329367011612,1.81133764641445,1.99007657461463,1.99909470935048,2.73800166489588,2.17727743581997,3.53949189288003,2.1327656935373,2.45341705536885,3.487512086255,3.27819640272317,2.10646077406685,4.33952756494048,3.69242523051863,7.58226072150421,3.77475201528712,3.67352528411359,2.67403251755054,3.50463116341811,2.79714639393874,5.52685142961165,5.31190063811179,5.95520291683619,4.1832918148877,4.28161039410452,2.55673480697688,3.2714996113459,8.23852083162683,4.01527022551685
"Tri_rep",1.04867752386577,1.03856929331344,0.96323239354366,1.12079100918974,1.04463693928241,1.22516037318442,1.14295960393262,1.09712853575276,1.3054326039452,1.37949578283257,1.76658542213169,1.35066632173416,2.30814216632552,1.43023765918808,2.09776010111543,1.92972339720711,3.31444210325588,3.63234450040262,2.59779179249274,2.93143651083174,3.25766538225399,2.81923832672181,1.98708311237591,2.34491296558239,2.51601556382035,2.48316847625624,3.4599414338186,2.82809489089617,4.36647196138019,2.69449336610026,3.00741988379974,4.4513273354236,4.26847468215977,2.70801286653344,5.48867500088564,4.61555798834488,9.3114639907778,4.74498605258702,4.56084030580701,3.30659375662182,4.39274155552603,3.47867189666333,6.85353009795243,6.65448711776037,7.44308313920618,5.14446115901294,5.29856623992891,3.15028559279829,4.34554882491845,10.4491743789004,5.08411817067664
"Tar_off",0.877114944997224,0.865074745092783,0.794557714573251,0.932052199609815,0.873209411754895,1.01345067332682,0.953377514332668,0.914802852072727,1.07668732248122,1.14315665908076,1.46779026625334,1.12645293944261,1.94355659238598,1.16869492568114,1.76500324609749,1.60757791689999,2.75654527294285,3.03558459702178,2.14217589189619,2.40010981778283,2.67296427661904,2.35241311094032,1.67219179436819,1.89609239020186,2.08385031487951,2.08738897695581,2.87621030166443,2.27496691988125,3.68970271791355,2.20741317410771,2.54483066421266,3.62771265131844,3.43132373706785,2.20431330278596,4.54522511104587,3.82730350733605,7.91656939457332,3.92915353914342,3.82527613904183,2.80632383090613,3.67127931835965,2.91806440321436,5.77521303719543,5.55510036008865,6.21251559149811,4.36315621734468,4.48759343063375,2.69534844788976,3.42636745434091,8.58446361556985,4.19772911699757
"Lol_per",1.01361653008571,0.999967111892822,0.931385957125817,1.08086838826559,1.01400867140584,1.18568546232051,1.10719885382476,1.05621325468302,1.26023767884779,1.32868067528625,1.69354807380307,1.31079571108067,2.22641998702588,1.35630276439422,2.04035230908409,1.86491793169098,3.16407834819155,3.53360800984379,2.49058510844059,2.84233161659708,3.18678947152397,2.75579245758089,1.93388910064114,2.23570841092388,2.40141641425204,2.39902647562195,3.26699074102668,2.71331358702913,4.2531031412463,2.68701290332914,2.97807194367607,4.35145966328607,4.07752765276876,2.58836392895303,5.2393076063803,4.58000340734415,9.01889024261321,4.63696420804799,4.4460537231541,3.13627869060272,4.18990840891328,3.3727193736401,6.60115300417345,6.39048702298706,7.21071430332624,5.00829046668848,5.06876780279573,2.96406327474274,4.12267255500967,10.1376664255723,4.8936870732354
"Arr_ela",0.787419616274807,0.77529467988416,0.703204937851917,0.832903033222621,0.781568006674813,0.898947662259925,0.851990308101601,0.820279044310967,0.953971660046004,1.01684891577893,1.31288748938215,1.005086783614,1.75352379240602,1.03351472135797,1.5921201873327,1.44080000836787,2.47173150714514,2.71214256246596,1.89575411375758,2.10480084821699,2.33819040782394,2.10100917699073,1.51135547139876,1.65969194780084,1.86248583063239,1.87740618445815,2.58341259093825,1.9720987614194,3.33208438379499,1.91406692706349,2.28194244799682,3.15775283334497,2.98129850670729,1.93708051710355,4.06257929611928,3.36285535140464,7.22719304425747,3.4751391647494,3.41927088312167,2.57372346252948,3.31132947775284,2.6145997227006,5.22168198791537,4.98820800068462,5.54645936413757,3.96978169905379,4.10744946843547,2.53333560180876,2.93519050445565,7.53986127150862,3.74488185868764
"Fes_rub",0.758747784917044,0.747328843911971,0.682148894490723,0.804105593171117,0.754647886550808,0.871394366400878,0.823085671144213,0.790532810988942,0.924728798631801,0.984226857894002,1.26654192362783,0.972157721470176,1.68621328257125,1.00088834381096,1.53112206124165,1.38827143563585,2.38087276220015,2.62175962400974,1.83888058159031,2.05163716510604,2.284212041866,2.03044834438738,1.45159850700196,1.61567253276319,1.79644129865311,1.80874363533905,2.48421076208328,1.93029511920821,3.20475964350034,1.88072754059106,2.20721760829834,3.09082238680551,2.911768639051,1.88296294039417,3.91751359911094,3.28318150993494,6.9112193066627,3.37600619724162,3.30741411518255,2.45296243199219,3.1805143316702,2.52412341241183,5.01654792140971,4.80402622457352,5.36280145165745,3.80185115628295,3.91523191806332,2.37589592295002,2.88440825977588,7.34817827461595,3.61405544089909
"Fes_pra",0.896366580202372,0.882696595480445,0.802856728629774,0.948952669481937,0.890510976948421,1.02603563332895,0.970994728867376,0.933849142918859,1.0888013729368,1.1599239159275,1.49540177646835,1.14613632072626,1.99453132446478,1.17914872720696,1.81066420742468,1.63988688622749,2.81352560544715,3.09181254416306,2.16468707987715,2.40821789563423,2.67787298799822,2.39443961335571,1.71770087702826,1.89775488435261,2.12117491056342,2.13729515560792,2.93873205930125,2.2605134165418,3.78996587190222,2.19756925778323,2.60211720758903,3.61943566111713,3.41376280108084,2.21360615445745,4.62622126970172,3.85028559078225,8.19955317205119,3.97010022961624,3.8993974418936,2.91646696683803,3.76441377822663,2.97914827480388,5.93704625024998,5.67730876217333,6.32398031791859,4.50617094774778,4.65306304288304,2.84838415765425,3.37009716534604,8.62673701425297,4.26508970398636
