"Intrinsic"	"LUI"
"Poa_tri"	0.0292249026005715	0.0216120621619891
"Poa_pra"	-0.0495295251638405	0.0623627483313905
"Alo_pra"	0.0427064676517159	-0.00303512595733503
"Dac_glo"	-0.0227730950748211	0.036563668862337
"Tri_rep"	-0.107422989344212	0.108779385792291
"Tar_sp"	-0.0490681506436408	0.0462422135023262
"Lol_per"	-0.00748725228544086	-0.00926399057645724
"Arr_ela"	0.0289515966409065	-0.011071892743201
"Fes_rub"	-0.027098433569497	0.0415123823641214
"Fes_pra"	-0.0154480712960316	0.0166958893349135
"Tri_fla"	0.00318915871106945	-0.0134703868126483
"Ely_rep"	0.0113999647791361	-0.0207419140550574
"Tri_pra"	0.0413418819398143	0.00549664690642567
"Ran_rep"	-0.00271906676757004	0.0089452619500239
"Bro_ere"	0.0964095762354528	-0.0446072340522218
"Ran_acr"	0.0321387024121667	-0.0251398790822428
"Bro_hor"	-0.0146189968844755	0.0237128436119897
"Pla_lan"	0.0142671504024045	0.00262622922281744
"Ach_mil"	0.000349903550928004	0.000293210961632081
"Ant_syl"	0.0282485740977293	-0.0155591361036779
"Her_sph"	0.0179175590872178	-0.0177552966892847
"Gal_mol"	-0.0129840169805107	0.00945358716467026
"Hol_lan"	-0.00498650628389274	-0.00115353974109195
"Hel_pub"	0.074135184261259	-0.0369713076101207
"Car_hir"	-0.0167546380113796	0.0105682909046896
"Bra_pin"	0.0514547736558004	-0.0278504909557418
"Pha_aru"	0.0109769359886981	-0.00146057431512277
"Ant_odo"	0.00575784367148966	-0.00982806137502057
"Ver_cha"	0.0231071784811213	-0.0132166273222929
"Fes_ovi"	0.05225993847695	-0.0248355226925327
"Rum_ace"	0.013886756882205	-0.00147062114056263
"Des_ces"	0.0118471756386421	-0.00217250023038248
"Phl_pra"	0.000330911692562664	-0.00250668437621224
"Agr_sto"	0.00318582078433403	0.011552421695453
"Cyn_cri"	-0.00708526289234166	0.00359396264089996
"Cir_ole"	-0.0154213701597899	0.00749158923564094
"Cre_bie"	0.0140759645307196	-0.00807838779867081
"Cer_hol"	-0.00604180817439901	0.00492765828398473
"Pla_med"	0.00180934655427512	-5.63373838759916e-05
"Thy_pul"	0.0382824677595118	-0.017774998439881
"Urt_dio"	0.0180630236976189	-0.0108126498096778
"Lol_mul"	0.0363333759489218	-0.019540377289683
"Cir_arv"	-0.00115342794122832	-0.000735663629741604
"Ran_bul"	-0.0111986940726399	0.00665812307448468
"Tri_dub"	0.00408624531134064	0.00163477745543426
"Lot_cor"	0.0311436364268761	-0.0205274106173592
"Car_car"	0.00693843323138467	-0.00672164323732142
"Leo_his"	0.0399908536309819	-0.0216271308011752
"Vic_sep"	0.00474759311427406	-0.00284677264075656
"Med_lup"	0.000571298021059681	0.00494383319795476
"Pru_sp"	0.0107379195006315	0.000458720208220133
