"","Intrinsic","LUI"
"Poa_tri",0.0318705723660328,0.0224555170568805
"Poa_pra",0.0312926682223791,0.0217548437533393
"Alo_pra",0.0314843389272743,0.0205565207686071
"Dac_glo",0.0227914816728503,0.0169790311725752
"Tri_rep",0.0267175954372473,0.0196829415726846
"Tar_off",0.0249978028621156,0.0178261698186853
"Lol_per",0.0265339018517737,0.0187840782594198
"Arr_ela",0.0263278408188009,0.0185781346057586
"Fes_rub",0.017878251991435,0.0132353060516291
"Fes_pra",0.0241019288641509,0.0158082495947072
"Tri_fla",0.0147048649288681,0.0109328831477189
"Ely_rep",0.0171917239747564,0.0128166937769296
"Tri_pra",0.0147698691682492,0.0107414886325609
"Ran_rep",0.0218955246734808,0.014136730857623
"Bro_ere",0.0116738057657066,0.00877748458118375
"Ran_acr",0.015850397239927,0.0110761535334603
"Bro_hor",0.0100107248110538,0.00698646241430975
"Pla_lan",0.00876474649250479,0.00624667438697398
"Ach_mil",0.0102687540575884,0.00762780252827271
"Ant_syl",0.00724479928363208,0.00547171049813757
"Her_sph",0.00714364974816434,0.00523428925098137
"Gal_mol",0.00805173336100089,0.00589449238837076
"Hol_lan",0.009628339571129,0.00690983426451244
"Hel_pub",0.0112417383737029,0.00820041705360163
"Car_hir",0.0084090753442168,0.00610589823121825
"Rest",0.00728960611694115,0.00524104282787517
