"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Ran_rep","Bro_ere","Ran_acr","Bro_hor","Pla_lan","Ach_mil","Ant_syl","Her_sph","Gal_mol","Hol_lan","Hel_pub","Car_hir","Bra_pin"
"Poa_tri",-0.0030723204341543,-0.0449230719869682,-0.0906327835163165,-0.0989088323696265,-0.0731959823941555,-0.0220260695641961,0.0329323187224468,0.0303958628841992,-0.113347987961101,0.0107459882202929,0.121503063798458,-0.0455352693766769,-0.15543103228794,-0.0925191552840689,0.0552784961982217,0.0325694793130101,-0.124282791923669,0.129038397862595,-0.0724536270336663,-0.0921758085171934,-0.164479309503419,0.495400032330883,0.11199462719848,-0.0806396784494093,0.196682184952194,-0.0877387841891582
"Poa_pra",-0.114524412966418,-0.166044841942733,-0.0625388790064115,-0.0498149579032996,-0.0491205170192249,-0.144917365280403,-0.110940938526594,-0.10050911972569,-0.00640824706399053,-0.203164330989526,-0.076830263430847,-0.0714170107548192,-0.229460451327512,-0.0851210434679563,-0.0411774938530152,-0.143147071418884,-0.137840506365365,-0.424313811250666,0.00996961171305502,-0.237690472242836,0.0282667813768083,-0.17168883984316,-0.283227033537263,-0.153064001088355,-0.194932303625392,-0.165854958620863
"Alo_pra",-0.0207571993552266,0.0373885451297017,-0.0692458407995989,0.019021501330969,-0.00746182695134965,-0.00246275407889801,-0.0183833839355694,-0.01348634297214,-0.0284727936815399,0.00332176080482043,-0.06262054693158,-0.0475417620269672,0.109581536137428,0.00220104190394922,-0.169889646066252,-0.0533394735921088,-0.176449654720594,-0.0991310149874443,-0.0606370940785184,0.0147074680496445,0.41956544314961,0.107837885879762,0.268031652228386,0.036043725759253,-0.1174230476355,-0.0590087998027374
"Dac_glo",0.0257273919817121,0.0547650141147824,-0.00484801020831573,-0.149521305409565,-0.0549955467691208,0.00251521166673614,0.0425806944604815,-0.0214264062365598,0.142032314868712,0.0222967720225171,0.292153652381303,0.01123082602029,0.00977762838725041,-0.00915221267163841,0.00697754209727449,-0.0848935714161294,0.0214853278154431,0.225671428011524,0.113434461365952,-0.158464222530055,-0.100928405884482,0.338379880235824,-0.0219740194149964,-0.132276627907797,-0.0513070462423784,0.0544545090028568
"Tri_rep",0.00716835588496902,-0.0841372297235601,-0.020570729053047,-0.00651529962795446,0.0304880633740462,-0.0653101979518302,-0.0973132536536738,-0.051815001154178,-0.0998063754809306,0.0289474616073661,-0.0406422741998377,0.0340687417669845,0.170391902039721,-0.0766259206541596,-0.0403916813170507,-0.0260647527459219,-0.31304649074309,-0.189904307502726,0.0825759062174284,0.123854777146706,-0.0877083669600374,0.0144842000025793,-0.017769343357893,0.0330624556915504,0.0140356684909631,-0.118158108006271
"Tar_off",-0.0283900161804611,-0.0119449040319928,-0.0457040887309951,-0.0838498694723036,-0.0879414965776291,0.0500632448369708,-0.0061351045577238,-0.0222955902797962,0.0645786319384085,-0.123684954808561,-0.0281382235824576,0.0178325812529472,-0.0985052838596476,-0.0457502962351502,-0.0668898631783252,-0.0935080419993118,0.14493998598294,-0.114449577523592,-0.111132168521857,-0.0731955785009317,-0.0190646488589818,-0.161924280734968,-0.0340518136769553,-0.116360470480834,-0.118929241619302,-0.262198272699418
"Lol_per",-0.00935966312204938,0.0402702179457493,-0.022496649903914,-0.0837820802659649,0.0613712375901134,-0.115622158442007,-0.109343247553858,-0.0458153333113464,-0.0973155742232147,0.0243274729558799,-0.0558574090494997,0.0333727702617183,-0.0260545641257145,-0.0820394352109115,0.0268915122477603,-0.00932866997861247,-0.108493291885783,0.175963361840022,-0.236687187255331,0.0316598106752973,-0.188296321354323,0.041658951870609,-0.133543429047554,-0.0947790877669699,-0.0846838277313286,-0.0423359063440941
"Arr_ela",-0.0288493127655335,-0.0433094045654189,-0.047035984977988,0.0249254350673827,-0.0113259104867685,-0.00834104126364176,0.0232488558304001,-0.0640152972275186,0.000438937584931841,0.021485023638633,-0.0406504285823135,0.0221537664381685,0.268239509928215,-0.0568723964635226,-0.00821476626529063,0.0340900033878404,-0.259647325125633,-0.230139939100275,-0.0911755437927873,0.0365396279202776,-0.0999083712466831,0.0118775431412764,-0.0938469358066086,0.0929496857263254,0.0558150017396467,0.0570226297115745
"Fes_rub",-0.011655839806828,-0.0212794595224445,-0.000414645176982059,-0.0108794370985638,0.0107747868549102,0.0075871587952727,-0.00864134758466229,0.0172484619808697,-0.110292054441889,-0.0187423629888878,-0.0473973702471809,0.0118453663000657,-0.129023198366516,0.00401621606165032,-0.00970521607921478,-0.0318521569734418,-0.133492229386802,-0.117690321753773,0.0490212584914012,0.06681887095365,0.00363403816890778,-0.0148610032934669,0.0137102205101791,-0.0929129236626684,0.0451109693500568,0.103667916467955
"Fes_pra",0.00955481857044722,-0.0091850533012577,0.0288539295415147,-0.033952093157206,-0.00137796342762973,0.0025601753464336,0.0258459679803013,0.0677166075250129,-0.00308261180340997,-0.0120700326091671,-0.0457784997300287,0.0425162829992675,-0.065447988400415,0.0286779090382315,-0.0795663378565775,-0.0101932171626833,-0.0510882005297668,-0.0502472797009186,-0.0470375869048621,-0.162090712741157,0.0348563747156069,-0.116734153310963,-0.054515179539195,-0.0268134822467333,-0.0200851918105803,-0.124455184375215
"Tri_fla",0.00703674388735968,-0.0552592093146718,0.00646440591129974,0.138249215807303,-0.0306543828261014,-0.0107668339278054,-0.0187864318967843,0.00817998254925997,-0.0888031215146226,-0.0327340625769331,0.0240609461407576,-0.0269782574662954,0.0535321118162802,-0.0231228564662425,0.00318151128127151,-0.0642166949414071,0.15615386640631,-0.0823320997029342,-0.120423305291831,0.0234892656613908,-0.0216812271005862,-0.115833554336765,-0.0715887026182184,0.0582657545150161,-0.105578484070273,-0.00599931546152283
