"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Ran_rep","Bro_ere","Ran_acr","Bro_hor","Pla_lan","Ach_mil","Ant_syl","Her_sph","Gal_mol","Hol_lan","Hel_pub","Car_hir","Bra_pin"
"Poa_tri",0.0451260584135156,0.0484296004658679,0.038653490468254,0.0484761525855712,0.0428269442340114,0.053766614624087,0.0464241264610243,0.0500731547538947,0.0772800015230579,0.064567254843327,0.0796114690971905,0.0623975347907764,0.124841901817366,0.101924795731458,0.115344537979972,0.0924981257630055,0.162283597556024,0.190810268334617,0.130384450231562,0.173156792225628,0.17823635137762,0.158290772838176,0.122608202655118,0.168610150537861,0.144266469610076,0.211950409785346
"Poa_pra",0.0443843004270123,0.0464694498793614,0.0382730516490285,0.0467749070834801,0.0418398601253738,0.0529050140377004,0.044983391960503,0.0481935843620492,0.0761576005907544,0.0621467965370121,0.0762645687788259,0.0601398074595051,0.119373863116616,0.0973532703483231,0.114350123283588,0.0911607317663394,0.154723176040622,0.185595201806132,0.123535749084191,0.172099955966414,0.175941099661878,0.157255428200234,0.12138034179736,0.166507207200983,0.138885995850193,0.204615049153437
"Alo_pra",0.0389982122837032,0.0426314405272739,0.0338945027004642,0.0421891977737505,0.0367702598915257,0.0471685955902006,0.0405545864027016,0.0438167710354867,0.0679316938495563,0.0568121938312907,0.0695822270445661,0.0526233933965795,0.105706362971398,0.0916695158296711,0.0977247175990231,0.0781866584243706,0.139853434051159,0.160804744423953,0.111711573859977,0.151482277259619,0.151269351596302,0.135202259771781,0.102660686803459,0.153642992109251,0.12362353103128,0.180643730553539
"Dac_glo",0.0356415698119843,0.0379841580356495,0.0293947402594804,0.0385368671762855,0.0341705761715916,0.0410078786267387,0.0364538399737872,0.0393580267277353,0.0585203533292913,0.0500368160706608,0.0633087418900284,0.0519966944596215,0.103570600442388,0.0758611134169867,0.091776573269428,0.0749036220328727,0.1317354714235,0.154763267518496,0.10528173899142,0.129269529233867,0.13984818790069,0.124037373768544,0.0999151015926531,0.120449104733932,0.116333629410242,0.169415780413904
"Tri_rep",0.0405489012944625,0.0438340637607179,0.0337161503420958,0.0442348324554015,0.0389637433755663,0.0469994794395933,0.0418210985084314,0.0452581360779777,0.0674375778367035,0.0576010581116534,0.0727701246854563,0.0585011551930237,0.117494475746902,0.0892930439770936,0.103972553680451,0.0848965726417043,0.150650738743817,0.175205555659231,0.120472453733108,0.148567872563512,0.158695832349517,0.141250406238349,0.112617451575501,0.141380807384774,0.133338006148954,0.193403781883754
"Tar_off",0.0359601182113037,0.0387510967754181,0.0306216631176956,0.0388259980593974,0.0342420732062054,0.0426518007200133,0.037081780214424,0.0400494250396916,0.0612680013496841,0.0515367642890971,0.0637997744132318,0.0502280918282708,0.1006782615783,0.0812112737572743,0.091932421349091,0.0739990818544262,0.130573766270196,0.152953831359444,0.104993813958463,0.136824846686999,0.141834558630147,0.125948029815954,0.0980789070074098,0.132682315102199,0.115877000131353,0.169923921842253
"Lol_per",0.0382696414271717,0.0405403463153829,0.0327867443486089,0.0407481957857162,0.0362537058000319,0.0454966214336903,0.0390785884506922,0.042022195851031,0.0653060976449997,0.0541490465462754,0.0666536141679542,0.0527970252244371,0.105132783016675,0.0847192586712286,0.0983646992218699,0.0787466608523345,0.136040516436912,0.161786955538258,0.10923423820169,0.146953106766659,0.151751518967924,0.13482516538692,0.104711694769206,0.14152923390665,0.121351908186661,0.178877128563145
"Arr_ela",0.0367625641101226,0.0403266750858914,0.0312889541119131,0.0401944634672822,0.035078119271798,0.0437615309923193,0.0382794851900414,0.0414845414830187,0.0630735953785832,0.0534696067664319,0.0663062107127102,0.0512180075925246,0.103556958506627,0.0855396660366996,0.0932388221057074,0.0753062210060168,0.135356850810775,0.155853987136561,0.108528950755277,0.14012043048306,0.143720503601836,0.128396405442429,0.099342489251734,0.138563414264133,0.119773668342111,0.174298887580646
"Fes_rub",0.0273702440510116,0.0296319257488087,0.0226211635841547,0.0299463707617399,0.0263543772531125,0.031531798540076,0.0282309051319551,0.0305679648876875,0.0452736304546778,0.0387795600082996,0.0493115621177734,0.0397388153331363,0.0799043064161805,0.059918258863183,0.0702048474894686,0.0575640307622122,0.102235255193481,0.118553707908987,0.0814708945603481,0.0993202990492681,0.106775194256773,0.0952151796008599,0.0763212639689924,0.0943122469846047,0.0904910585738829,0.130605216852634
"Fes_pra",0.0317415575986947,0.0327861434168609,0.0276298966057461,0.0330051213620797,0.0296805548370001,0.0378699365011744,0.0318708920170053,0.0339725318787032,0.0549124149766961,0.0436771912077579,0.0536385254763488,0.0416262049473399,0.0822404877021843,0.0692130983954018,0.0815021218182811,0.0646945464477199,0.107355945251408,0.129276275462428,0.0844930627771486,0.123839147724611,0.124353134271592,0.112773355467355,0.0860914061329477,0.122526263157527,0.0973576714860705,0.142175545887158
