"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Bro_ere","Ran_rep","Bro_hor","Ran_acr","Pla_lan","Ach_mil","Gal_mol","Her_sph","Ant_syl","Hol_lan","Hel_pub","Ant_odo","Bra_pin","Car_hir","Ver_cha","Rum_ace","Fes_ovi","Phl_pra","Pha_aru","Des_ces","Agr_sto","Cyn_cri","Cir_ole","Cer_hol","Pla_med","Cre_bie","Urt_dio","Thy_pul","Lol_mul","Cir_arv","Lot_cor","Ran_bul","Tri_dub","Med_lup","Leo_his","Car_car","Vic_sep","Pru_sp"
"Poa_tri",0.646067938355537,0.657968726774146,0.583190311725473,0.695771920040668,0.63754325998551,0.697366490526472,0.658844412459212,0.728947248450292,0.963540247375848,0.811885779985739,0.954210539788452,0.840112191388621,1.49649892453656,1.12115418737535,1.32127634383249,1.10099218076216,1.91161568677836,2.19682788593605,1.5456968872565,1.75498135679262,1.85842875161506,1.72699177595506,1.42498212074779,1.63746466615106,1.63662879478136,2.74151370123032,2.57566755803171,2.03777665201844,2.9328168492602,2.08588445525611,3.23096567039607,1.89411253001962,4.08909680832939,1.72921751660956,3.88197161254308,3.24184730666808,6.51536064646431,3.23773303310529,2.3261567243147,2.35221738548008,4.41203318713384,1.58521364906819,3.78512976844384,4.78041149139059,5.23061739104066,3.89779355639331,3.03267939210252,4.63526932105231,2.08988108649402,5.79379091904344,4.54561921604244
"Poa_pra",0.612812849148966,0.62510870624964,0.552644492726482,0.661093518548673,0.60456999782029,0.660521302675572,0.625359234865307,0.693213133887997,0.914183526990695,0.769589278443685,0.908172231828631,0.796308976095102,1.42251555659017,1.06682247800342,1.25314863755809,1.04617067025718,1.81674984483289,2.08194344262326,1.46902088549311,1.65760303212106,1.75637698701841,1.63630965890578,1.35186961031621,1.55237769009931,1.55720203779891,2.60269304097307,2.46024874057898,1.92785159568534,2.78356779217332,1.96008050290032,3.0598411770342,1.79022342888977,3.87532995592389,1.64204473312034,3.69324941592401,3.05496578418818,6.18285074409501,3.07057369297178,2.20090809047473,2.25276543203066,4.19821916196456,1.50442069991583,3.59784089974373,4.54890782641465,4.96534154300899,3.70110167435016,2.89210915277142,4.44940162817491,1.9803873135755,5.47696595388453,4.3243156724673
"Alo_pra",0.408122854753708,0.4166011273091,0.365895559949833,0.441385086188832,0.403087190572205,0.437694659823764,0.415581605027543,0.463489611640431,0.606220513604026,0.510661540753806,0.606810365672843,0.530592979030954,0.953171307638588,0.70187709745771,0.835228651240128,0.699962707417537,1.21067463253373,1.3864799174204,0.973032233237529,1.08540065376278,1.15700993746037,1.0855438331576,0.905035184485931,1.01542154643624,1.04221894962365,1.73734016485359,1.6419184039815,1.25797263488998,1.86227507291391,1.28545736029963,2.05359765086029,1.17663834940053,2.52444209346471,1.0863077747376,2.45271873475215,2.00826592250277,4.147332583744,2.03880610800541,1.47011330241325,1.53736852172549,2.81755077907041,1.00437659618838,2.41889084391868,3.04485761471211,3.3015597317267,2.48753908777079,1.95094764723907,3.05310526762989,1.29293768012065,3.61049070264829,2.8861911195351
"Dac_glo",0.500059006620543,0.509254379356874,0.451435021796465,0.538497486446206,0.493455042870892,0.539814007603685,0.509956820215252,0.564154436352424,0.745828529754679,0.628430912215173,0.738491212544942,0.65024158244319,1.15815053654197,0.867885215608439,1.02267318977353,0.852114004765313,1.47953044569558,1.70037316170728,1.19640037732455,1.35876554404992,1.43871844328055,1.33681170111666,1.10287735169946,1.26774371062368,1.26662376872088,2.12179928407751,1.99325898263829,1.57775394975046,2.26981120746552,1.61505580750542,2.50054255069037,1.46639221449015,3.16602078237812,1.33851432482275,3.00463189398711,2.50988364109905,5.04242964738494,2.50614455894663,1.80040083754821,1.81968059392138,3.41435369557474,1.22688702900791,2.92915316580185,3.69961747004408,4.04851359019816,3.01650332655924,2.34670003600472,3.58583295732592,1.61807394478463,4.48519351078953,3.51817376744071
"Tri_rep",0.625009047002924,0.63899095648985,0.569154018515348,0.672823290677063,0.615076146866361,0.679343697146631,0.641239276540489,0.704086344613577,0.941315518953919,0.788729268440781,0.926209058706566,0.808974568974354,1.43637371458079,1.12183538107866,1.27823767074563,1.06236871416418,1.8559719095098,2.12082050808373,1.51378633833478,1.73737632873948,1.8185426289259,1.68204875651889,1.36785995727658,1.6450285571166,1.58339808669478,2.63881423514127,2.5172599283527,2.04248101267062,2.8086389971192,2.02816373905449,3.06203780402574,1.86382945679694,4.13154420887629,1.70090067098946,3.80527319987364,3.1615594420723,6.23518449673964,3.15250159523405,2.21705437722743,2.21855873038218,4.23623923837485,1.52354020756059,3.60551295065294,4.61923822313951,5.07914050533759,3.71715034799051,2.90058074634868,4.39832488526728,2.11267699118869,5.66046824397401,4.43700577872259
"Tar_off",0.521773075073399,0.532234015255261,0.471018833539685,0.562671533789751,0.514646374109516,0.562875474781843,0.53267273293857,0.589869928070835,0.779002043942596,0.655600910601884,0.77293500595845,0.67785088362448,1.20989338732608,0.910491873525955,1.06692332130374,0.890222364684569,1.54675024633004,1.77259093049959,1.25186414954375,1.41536634571625,1.49808194815106,1.39427373235456,1.1501159573415,1.32615246180617,1.32499430418227,2.21486594031667,2.09418233663006,1.64735060334971,2.36784723747461,1.6727406807391,2.60127502567451,1.52759647149978,3.31289485999877,1.39982916914004,3.14649857811163,2.60627598666902,5.25811908782469,2.61590099455946,1.87242967204046,1.91017249860674,3.56987101079305,1.28019730229713,3.05795334002409,3.87022085464889,4.22869492951214,3.14647867328404,2.45741832317614,3.77210234328485,1.69252844443484,4.67059154332825,3.68191606012557
"Lol_per",0.605816917766806,0.615394935961347,0.551462152178176,0.649048703079107,0.597159637189394,0.659289804944426,0.618496758313347,0.677702959952046,0.908568623575933,0.763184543296448,0.887245541618121,0.785776440685489,1.38669686352108,1.06238184404013,1.24004460886797,1.02801813161815,1.78404111711127,2.06168495560498,1.44813746759042,1.6886370069348,1.77216949283466,1.63344354875568,1.33126645553661,1.57299397851954,1.52140201803832,2.55040250606687,2.3751650680819,1.9651558733125,2.72463286434193,2.01928300554491,3.00216731785814,1.81255333904663,3.94893573674072,1.6302112073405,3.63416905471157,3.11238593246038,6.06474190060125,3.05136258151332,2.17089840538257,2.10240869897655,4.07019871984914,1.47600654604193,3.48369244420606,4.43487521034903,4.89929307552916,3.61446688429373,2.77999553222509,4.17338444221149,2.01643017248653,5.50535586857001,4.25687099688436
"Arr_ela",0.466843981208364,0.476859050592732,0.417752344052487,0.505453106800068,0.461210959216493,0.499783928968367,0.475139476644882,0.531094608701402,0.692724347484839,0.583183773293232,0.695317677125806,0.606634510936249,1.09255780173586,0.800796594628033,0.955868266022667,0.802638343902119,1.38546843962153,1.5855513444225,1.11113027995937,1.23423851702521,1.31799153473723,1.24057847124956,1.03737484356767,1.15579047028312,1.19519256853693,1.98784943346339,1.88129304442683,1.42961703696337,2.13248376406047,1.46052265607864,2.35259419364076,1.33953614967016,2.86977781129799,1.24040409764265,2.80532460394893,2.28446888407488,4.75552289956731,2.33045751780679,1.68080456653782,1.77304927176535,3.2313794764709,1.14926957445794,2.77386838668647,3.49084204452238,3.7743941453687,2.85459426190783,2.24290386389196,3.53993327469888,1.47088728152462,4.11244188127462,3.30889367946548
"Fes_rub",0.450705705736332,0.459736054181539,0.404914718387503,0.486820693940046,0.445020744621158,0.484309827490582,0.459173406428245,0.510853622143408,0.670266491781224,0.56482689716928,0.668797239354511,0.586136323014662,1.05011893218712,0.777283575461576,0.922030994690135,0.77120537584581,1.3361493413266,1.5315841261385,1.0761612542542,1.20645883076019,1.28352004960029,1.20033337502497,0.997522806458958,1.12760397043531,1.14796291873444,1.91741559213957,1.80908202004848,1.3991198904762,2.05379609289771,1.43023386430036,2.26388610191795,1.30614837465796,2.80720622683701,1.20184549219667,2.70873879646102,2.23123935794339,4.56856618670261,2.25351225688036,1.62385461917662,1.68131579600686,3.10194598499905,1.10847650584059,2.6629096823554,3.35415845002302,3.64764920959771,2.73800872027868,2.14259037262493,3.32538157360087,1.43668464905789,4.00493007142594,3.18089537584995
"Fes_pra",0.531883552028344,0.542961006402153,0.476780469434467,0.575283414910802,0.525331731122493,0.570343471008968,0.541583757689861,0.604122728307657,0.789987677286376,0.66543622848266,0.790931147579798,0.691470338503922,1.2424194872418,0.91453306943749,1.08854227212529,0.912385887411252,1.57786586190892,1.80688397077264,1.26794390478753,1.41388594421613,1.50737695199813,1.4146134477611,1.17965879363758,1.32282427727428,1.35852665573578,2.26424952329532,2.14013122745969,1.63861139955937,2.42721451297387,1.674375694227,2.67666192189625,1.53287731224855,3.28835188971095,1.41553257426217,3.19647143736176,2.61612571489616,5.40598484843288,2.65690315934311,1.9158617995688,2.00490275080247,3.67273238537571,1.30899259089485,3.15306252752123,3.96889637269043,4.30256880658066,3.24266098817216,2.54356401711823,3.98302261653251,1.68428191500087,4.70381677848349,3.76201806990836
