"species","LUI","observed","presence"
"Poa_tri",0.5,9,1
"Poa_pra",0.5,32,1
"Alo_pra",0.5,11,1
"Dac_glo",0.5,29,1
"Tri_rep",0.5,36,1
"Tar_off",0.5,28,1
"Lol_per",0.5,5,1
"Arr_ela",0.5,19,1
"Fes_rub",0.5,22,1
"Fes_pra",0.5,26,1
"Tri_fla",0.5,15,1
"Ely_rep",0.5,12,1
"Tri_pra",0.5,28,1
"Ran_rep",0.5,10,1
"Bro_ere",0.5,14,1
"Ran_acr",0.5,13,1
"Bro_hor",0.5,7,1
"Pla_lan",0.5,36,1
"Ach_mil",0.5,35,1
"Ant_syl",0.5,6,1
"Her_sph",0.5,2,1
"Gal_mol",0.5,22,1
"Hol_lan",0.5,13,1
"Hel_pub",0.5,12,1
"Car_hir",0.5,1,1
"Bra_pin",0.5,15,1
"Poa_tri",0.75,18,1
"Poa_pra",0.75,75,1
"Alo_pra",0.75,12,1
"Dac_glo",0.75,61,1
"Tri_rep",0.75,67,1
"Tar_off",0.75,68,1
"Lol_per",0.75,14,1
"Arr_ela",0.75,51,1
"Fes_rub",0.75,53,1
"Fes_pra",0.75,55,1
"Tri_fla",0.75,47,1
"Ely_rep",0.75,28,1
"Tri_pra",0.75,63,1
"Ran_rep",0.75,17,1
"Bro_ere",0.75,41,1
"Ran_acr",0.75,28,1
"Bro_hor",0.75,23,1
"Pla_lan",0.75,77,1
"Ach_mil",0.75,75,1
"Ant_syl",0.75,15,1
"Her_sph",0.75,5,1
"Gal_mol",0.75,51,1
"Hol_lan",0.75,30,1
"Hel_pub",0.75,43,1
"Car_hir",0.75,2,1
"Bra_pin",0.75,45,1
"Poa_tri",1,116,1
"Poa_pra",1,140,1
"Alo_pra",1,61,1
"Dac_glo",1,136,1
"Tri_rep",1,87,1
"Tar_off",1,136,1
"Lol_per",1,51,1
"Arr_ela",1,83,1
"Fes_rub",1,90,1
"Fes_pra",1,97,1
"Tri_fla",1,59,1
"Ely_rep",1,68,1
"Tri_pra",1,73,1
"Ran_rep",1,77,1
"Bro_ere",1,23,1
"Ran_acr",1,57,1
"Bro_hor",1,45,1
"Pla_lan",1,86,1
"Ach_mil",1,79,1
"Ant_syl",1,63,1
"Her_sph",1,58,1
"Gal_mol",1,70,1
"Hol_lan",1,66,1
