"species","LUI","observed","presence"
"Poa_tri",0.5,9,1
"Poa_pra",0.5,32,1
"Alo_pra",0.5,11,1
"Dac_glo",0.5,29,1
"Tri_rep",0.5,36,1
"Tar_sp",0.5,28,1
"Lol_per",0.5,5,1
"Arr_ela",0.5,19,1
"Fes_rub",0.5,22,1
"Fes_pra",0.5,26,1
"Tri_fla",0.5,15,1
"Ely_rep",0.5,12,1
"Tri_pra",0.5,28,1
"Ran_rep",0.5,10,1
"Bro_ere",0.5,14,1
"Ran_acr",0.5,13,1
"Bro_hor",0.5,7,1
"Pla_lan",0.5,36,1
"Ach_mil",0.5,35,1
"Ant_syl",0.5,6,1
"Her_sph",0.5,2,1
"Gal_mol",0.5,22,1
"Hol_lan",0.5,13,1
"Hel_pub",0.5,12,1
"Car_hir",0.5,1,1
"Bra_pin",0.5,15,1
"Pha_aru",0.5,0,0
"Ant_odo",0.5,17,1
"Ver_cha",0.5,24,1
"Fes_ovi",0.5,22,1
"Rum_ace",0.5,6,1
"Des_ces",0.5,9,1
"Phl_pra",0.5,5,1
"Agr_sto",0.5,5,1
"Cyn_cri",0.5,11,1
"Cir_ole",0.5,2,1
"Cre_bie",0.5,13,1
"Cer_hol",0.5,19,1
"Pla_med",0.5,26,1
"Thy_pul",0.5,17,1
"Urt_dio",0.5,2,1
"Lol_mul",0.5,0,0
"Cir_arv",0.5,12,1
"Ran_bul",0.5,28,1
"Tri_dub",0.5,12,1
"Lot_cor",0.5,27,1
"Car_car",0.5,7,1
"Leo_his",0.5,21,1
"Vic_sep",0.5,11,1
"Med_lup",0.5,25,1
"Poa_tri",0.75,18,1
"Poa_pra",0.75,75,1
"Alo_pra",0.75,12,1
"Dac_glo",0.75,61,1
"Tri_rep",0.75,67,1
"Tar_sp",0.75,68,1
"Lol_per",0.75,14,1
"Arr_ela",0.75,51,1
"Fes_rub",0.75,53,1
"Fes_pra",0.75,55,1
"Tri_fla",0.75,47,1
"Ely_rep",0.75,28,1
"Tri_pra",0.75,63,1
"Ran_rep",0.75,17,1
"Bro_ere",0.75,41,1
"Ran_acr",0.75,28,1
"Bro_hor",0.75,23,1
"Pla_lan",0.75,77,1
"Ach_mil",0.75,75,1
"Ant_syl",0.75,15,1
"Her_sph",0.75,5,1
"Gal_mol",0.75,51,1
