"combos","SND","SFD","feasibility","LUI"
"Poa_tri.Alo_pra",1.06517229926135,0.638320989383729,1,0.5
"Poa_tri.Arr_ela",0.835247955215446,4.10247614998218,1,0.5
"Poa_tri.Tri_pra",1.02905559701863,4.90136893394957,1,0.5
"Poa_tri.Ran_rep",1.08178092291966,40.1100050349955,1,0.5
"Poa_tri.Bro_ere",0.926258465119119,16.1040709681009,1,0.5
"Poa_tri.Ran_acr",1.20707791561404,27.3021520447927,1,0.5
"Poa_tri.Pla_lan",0.818997112186381,16.4072747805904,1,0.5
"Poa_tri.Ach_mil",0.885916601161937,40.2107275894221,0,0.5
"Poa_tri.Ant_syl",0.572868796301938,2.02992553307044,1,0.5
"Poa_tri.Her_sph",1.47722532158786,53.7965607441734,1,0.5
"Poa_tri.Hel_pub",0.757394109162149,16.3762674997256,1,0.5
"Poa_tri.Bra_pin",0.888083259734794,0.520417589243988,1,0.5
"Alo_pra.Arr_ela",1.07477171259304,16.4924723848876,1,0.5
"Alo_pra.Tri_pra",0.900115334780439,3.29406242718934,1,0.5
"Alo_pra.Ran_rep",1.15391390648616,47.0455417712872,1,0.5
"Alo_pra.Bro_ere",0.922658034003187,12.5796271111015,1,0.5
"Alo_pra.Ran_acr",1.19078786529273,28.5709761796048,1,0.5
"Alo_pra.Pla_lan",1.1164705706685,30.4639367317414,1,0.5
"Alo_pra.Ach_mil",1.06533987970538,46.1179179471602,1,0.5
"Alo_pra.Ant_syl",0.904008694409082,16.0569768522909,1,0.5
"Alo_pra.Her_sph",0.363092764364892,5.43512956364428,1,0.5
"Alo_pra.Hel_pub",0.699034340442891,16.0239597621622,1,0.5
"Alo_pra.Bra_pin",0.906978829287259,1.74397124873395,1,0.5
"Arr_ela.Tri_pra",0.840157336202536,27.9924159356369,1,0.5
"Arr_ela.Ran_rep",0.943918167569257,39.1797302870156,1,0.5
"Arr_ela.Bro_ere",0.901848522985783,24.4097939802931,1,0.5
"Arr_ela.Ran_acr",1.1987763600927,18.051524332677,1,0.5
"Arr_ela.Pla_lan",1.08227442323157,16.6879030537626,1,0.5
"Arr_ela.Ach_mil",1.15725326363485,50.4063055638443,1,0.5
"Arr_ela.Ant_syl",1.27244446019281,15.6414636580042,1,0.5
"Arr_ela.Her_sph",1.14209649675693,28.4587622411002,1,0.5
"Arr_ela.Hel_pub",0.641972449390116,28.4939537159725,1,0.5
"Arr_ela.Bra_pin",0.913838446767172,11.9910642052191,1,0.5
"Tri_pra.Ran_rep",0.962464768058537,42.1231207115619,1,0.5
"Tri_pra.Bro_ere",0.935372949018546,13.4228450797823,1,0.5
"Tri_pra.Ran_acr",1.07349503873183,27.754170576913,1,0.5
"Tri_pra.Pla_lan",1.08073660290236,27.4887463798535,1,0.5
"Tri_pra.Ach_mil",1.00438387592632,46.0495957345151,0,0.5
"Tri_pra.Ant_syl",0.963218203229415,19.9549040662849,1,0.5
"Tri_pra.Her_sph",0.886865095265694,30.196862060875,1,0.5
"Tri_pra.Hel_pub",0.892698825199021,9.22542565470734,1,0.5
"Tri_pra.Bra_pin",0.884555525044112,3.09932493866768,1,0.5
"Ran_rep.Bro_ere",0.947489390757942,41.5044933321912,1,0.5
"Ran_rep.Ran_acr",0.920588932989854,40.9013863220679,1,0.5
"Ran_rep.Pla_lan",0.923790782894292,42.1168511961262,0,0.5
"Ran_rep.Ach_mil",0.957321100277193,27.3078229004182,1,0.5
"Ran_rep.Ant_syl",0.923268095235789,40.9568941408382,1,0.5
"Ran_rep.Her_sph",1.10813930257662,29.9953154389526,1,0.5
"Ran_rep.Hel_pub",0.887932011162812,43.6219857139568,0,0.5
"Ran_rep.Bra_pin",0.943017396721099,41.7212315197063,1,0.5
"Bro_ere.Ran_acr",0.922430035612085,28.7372002641456,1,0.5
"Bro_ere.Pla_lan",1.01591330719065,33.9911002838907,1,0.5
"Bro_ere.Ach_mil",0.877061530234599,39.0810236692855,1,0.5
"Bro_ere.Ant_syl",0.896870110892921,26.3869561665007,1,0.5
"Bro_ere.Her_sph",0.79657553993042,29.6659199437236,1,0.5
"Bro_ere.Hel_pub",0.450724055978082,10.1837068859746,1,0.5
"Bro_ere.Bra_pin",1.31298577074972,34.1854613900154,1,0.5
"Ran_acr.Pla_lan",0.997160527615055,9.63478787711446,1,0.5
"Ran_acr.Ach_mil",1.09778712663766,48.9548831638198,1,0.5
"Ran_acr.Ant_syl",1.01882309276666,4.38481535489555,1,0.5
"Ran_acr.Her_sph",0.966514373077414,22.5161729902818,1,0.5
"Ran_acr.Hel_pub",1.05974988312263,20.0783405287339,1,0.5
"Ran_acr.Bra_pin",0.970385393983334,17.8625793983475,1,0.5
"Pla_lan.Ach_mil",0.966985597969133,41.0728741604517,1,0.5
"Pla_lan.Ant_syl",0.973771813684383,6.85207837015157,1,0.5
"Pla_lan.Her_sph",0.952241028772301,13.6638741681941,1,0.5
"Pla_lan.Hel_pub",0.973453182204973,32.090727279568,1,0.5
"Pla_lan.Bra_pin",0.749153127315413,20.3211750776624,1,0.5
"Ach_mil.Ant_syl",0.975293007135437,40.7187102761722,1,0.5
"Ach_mil.Her_sph",0.977115190011193,40.2879535063348,1,0.5
"Ach_mil.Hel_pub",0.90516652993878,38.6754091969628,1,0.5
"Ach_mil.Bra_pin",0.953521434988476,44.1087478700322,0,0.5
"Ant_syl.Her_sph",1.10617295342795,28.7612724885547,1,0.5
"Ant_syl.Hel_pub",0.815169508938472,30.4282023198366,1,0.5
"Ant_syl.Bra_pin",0.939600341614615,15.9808427684282,1,0.5
"Her_sph.Hel_pub",0.924417820512575,36.4812204736081,1,0.5
"Her_sph.Bra_pin",0.937467294607632,30.0257882371204,1,0.5
"Hel_pub.Bra_pin",0.978776158737935,5.43867366320277,1,0.5
"Poa_tri.Alo_pra",1.05066159929682,4.42032847515312,1,0.75
"Poa_tri.Dac_glo",1.08340753252187,43.0249797397852,1,0.75
"Poa_tri.Arr_ela",0.857426400943642,11.1999278704983,1,0.75
"Poa_tri.Fes_rub",0.88068880941513,36.0697836523087,1,0.75
"Poa_tri.Tri_pra",1.00742457473506,6.22140526837265,1,0.75
"Poa_tri.Ran_rep",1.09720390494639,38.7873570041302,1,0.75
"Poa_tri.Bro_ere",0.92565618017584,9.20800852290311,1,0.75
"Poa_tri.Ran_acr",1.20104047946431,36.5638912077982,1,0.75
"Poa_tri.Bro_hor",0.914275711402483,37.9887237517752,1,0.75
"Poa_tri.Pla_lan",0.838636910390453,18.97723676086,1,0.75
"Poa_tri.Ach_mil",0.87272806354351,39.4891815920292,0,0.75
"Poa_tri.Ant_syl",0.649233657551823,8.36943499309513,1,0.75
"Poa_tri.Her_sph",1.45703485656749,59.4197023502365,1,0.75
"Poa_tri.Hel_pub",0.773401459915158,7.56569281176175,1,0.75
"Poa_tri.Bra_pin",0.872439185892708,7.54801431534308,1,0.75
"Alo_pra.Dac_glo",1.05316337329504,39.2975354117823,1,0.75
"Alo_pra.Arr_ela",1.0718874089056,19.2085288025207,1,0.75
"Alo_pra.Fes_rub",0.970018747140692,38.3581425586757,1,0.75
"Alo_pra.Tri_pra",0.91398459113732,3.89399799067889,1,0.75
"Alo_pra.Ran_rep",1.12597840666063,43.103315087583,1,0.75
"Alo_pra.Bro_ere",0.916422175801207,10.2619266829092,1,0.75
"Alo_pra.Ran_acr",1.17966324015817,34.7158716036802,1,0.75
"Alo_pra.Bro_hor",1.04458556338826,42.2697264244999,1,0.75
"Alo_pra.Pla_lan",1.08809183454867,28.10114652159,1,0.75
"Alo_pra.Ach_mil",1.04218299835876,45.1648704179192,1,0.75
"Alo_pra.Ant_syl",0.927794579265627,20.7806285366946,1,0.75
"Alo_pra.Her_sph",0.441874729856652,14.239614280591,1,0.75
"Alo_pra.Hel_pub",0.765028524786198,9.40766285800671,1,0.75
"Alo_pra.Bra_pin",0.87415345950596,4.91341524007227,1,0.75
"Dac_glo.Arr_ela",1.09246313433173,26.6612108231381,1,0.75
"Dac_glo.Fes_rub",0.875687781801365,2.37237389763679,1,0.75
"Dac_glo.Tri_pra",0.981839163615093,40.1660587543662,1,0.75
"Dac_glo.Ran_rep",0.987859234630861,6.46776249010811,1,0.75
"Dac_glo.Bro_ere",0.882264083431352,35.0990798754402,1,0.75
"Dac_glo.Ran_acr",0.899295584915061,27.2636346040899,1,0.75
"Dac_glo.Bro_hor",1.19993119401584,21.2427559408431,1,0.75
"Dac_glo.Pla_lan",0.757258063730786,37.9062562255607,0,0.75
"Dac_glo.Ach_mil",1.03552656924662,32.0731629609939,1,0.75
"Dac_glo.Ant_syl",0.829032586061925,35.8270109226337,1,0.75
"Dac_glo.Her_sph",1.24832162882496,11.2075726118991,1,0.75
"Dac_glo.Hel_pub",1.08836409242591,27.6738260762721,1,0.75
"Dac_glo.Bra_pin",0.871973594959425,37.5294801085871,1,0.75
"Arr_ela.Fes_rub",1.05073869140857,32.2843810672045,1,0.75
"Arr_ela.Tri_pra",0.858738479497951,29.0450260430871,1,0.75
"Arr_ela.Ran_rep",0.943313763840424,32.7700249846641,1,0.75
"Arr_ela.Bro_ere",0.920483908516676,24.9475830893136,1,0.75
"Arr_ela.Ran_acr",1.18115138026781,23.2267663150924,1,0.75
"Arr_ela.Bro_hor",0.940846003615718,33.26317058681,1,0.75
"Arr_ela.Pla_lan",1.06735877762862,11.2801392894586,1,0.75
"Arr_ela.Ach_mil",1.14302387878524,49.4151011799069,1,0.75
"Arr_ela.Ant_syl",1.27808536251971,18.1535780806659,1,0.75
"Arr_ela.Her_sph",1.09744886752843,35.1552045770469,1,0.75
"Arr_ela.Hel_pub",0.727371870742091,25.9310637158031,1,0.75
"Arr_ela.Bra_pin",0.971970194035664,8.43735255368278,1,0.75
"Fes_rub.Tri_pra",0.951079177510455,32.6124262920193,1,0.75
"Fes_rub.Ran_rep",1.03033698320995,0.234840443348264,1,0.75
"Fes_rub.Bro_ere",0.864710840447334,37.2287289127652,1,0.75
"Fes_rub.Ran_acr",1.09599255605295,26.0147894812536,1,0.75
"Fes_rub.Bro_hor",0.975579716774995,11.609966205667,1,0.75
"Fes_rub.Pla_lan",1.22391737337021,21.0765932081298,1,0.75
"Fes_rub.Ach_mil",0.864555701292189,34.035415075817,1,0.75
"Fes_rub.Ant_syl",0.923264623784623,30.2714820016328,1,0.75
"Fes_rub.Her_sph",0.870027964632297,8.53282129553689,1,0.75
"Fes_rub.Hel_pub",1.25983287391785,26.3765785968521,1,0.75
"Fes_rub.Bra_pin",0.898454027843818,33.9605599960493,1,0.75
"Tri_pra.Ran_rep",0.957424100108071,39.0608952319709,1,0.75
"Tri_pra.Bro_ere",0.944022675170022,8.68615954940167,1,0.75
"Tri_pra.Ran_acr",1.0768792732541,34.1726890848681,1,0.75
"Tri_pra.Bro_hor",1.01596709629423,39.7418130641029,1,0.75
"Tri_pra.Pla_lan",1.05899862371822,26.3470535321272,1,0.75
"Tri_pra.Ach_mil",0.995775780787632,45.6300770843601,0,0.75
"Tri_pra.Ant_syl",0.95862613502694,23.875742866431,1,0.75
"Tri_pra.Her_sph",0.910509752180974,36.1369285761087,1,0.75
"Tri_pra.Hel_pub",0.909469224544847,3.09133428609155,1,0.75
"Tri_pra.Bra_pin",0.886871292261698,9.15041138808894,1,0.75
"Ran_rep.Bro_ere",0.949656515348654,39.4767712642555,1,0.75
"Ran_rep.Ran_acr",0.928787214193544,29.3583825283523,1,0.75
"Ran_rep.Bro_hor",1.05709957712667,3.91914560522783,1,0.75
"Ran_rep.Pla_lan",0.931736337886464,34.062539733947,1,0.75
"Ran_rep.Ach_mil",0.960225949202389,35.1720748018197,1,0.75
"Ran_rep.Ant_syl",0.923307033223682,32.4611330932963,1,0.75
"Ran_rep.Her_sph",1.0757659842938,1.37244846301364,1,0.75
"Ran_rep.Hel_pub",0.903046430077649,40.1726672712866,1,0.75
"Ran_rep.Bra_pin",0.943651200870502,37.2457005929584,1,0.75
"Bro_ere.Ran_acr",0.931849792822283,31.4999331451186,1,0.75
"Bro_ere.Bro_hor",0.950648668263889,40.1101985893494,1,0.75
"Bro_ere.Pla_lan",1.01233812279779,31.2734450874696,1,0.75
