"combos","SND","SFD","overlap","differential","feasibility","pair_to_all","LUI"
"Alo_pra.Arr_ela.Tri_pra",0.799259464603572,24.9801831174144,0.66,0.075,1,1,0.5
"Alo_pra.Arr_ela.Ran_rep",1.21928808295628,42.6451580512284,0.946,0.03,1,1,0.5
"Alo_pra.Arr_ela.Bro_ere",0.841234518255432,15.0455239325264,0.732,-0.0730000000000001,1,1,0.5
"Alo_pra.Arr_ela.Ran_acr",1.56431088327823,29.9631870245264,0.918,-0.017,1,1,0.5
"Alo_pra.Arr_ela.Pla_lan",1.40173513871415,31.3597157945538,0.964,-0.01,1,1,0.5
"Alo_pra.Arr_ela.Ach_mil",1.42462838758145,42.1508376472366,1,0,1,1,0.5
"Alo_pra.Arr_ela.Ant_syl",1.16247636702215,14.9150859255524,0.851,0.053,1,1,0.5
"Alo_pra.Arr_ela.Her_sph",0.29186819455407,5.83078453915806,0.258,0.013,1,1,0.5
"Alo_pra.Arr_ela.Hel_pub",0.293336621456722,23.0723941110879,0.187,0.026,0,0.666666666666667,0.5
"Alo_pra.Arr_ela.Bra_pin",0.833802544884618,15.8588645157194,0.789,-0.0119999999999999,1,1,0.5
"Alo_pra.Tri_pra.Ran_rep",1.02578251751465,32.2612066160021,0.818,0.0760000000000001,1,1,0.5
"Alo_pra.Tri_pra.Bro_ere",0.760677890235598,11.7242347050794,0.713,-0.021,1,1,0.5
"Alo_pra.Tri_pra.Ran_acr",1.14882090557872,24.0535582933979,0.827,0.0780000000000001,1,1,0.5
"Alo_pra.Tri_pra.Pla_lan",1.17814508971023,22.5619358478116,0.866,0.1,1,1,0.5
"Alo_pra.Tri_pra.Ach_mil",0.997575018995181,34.711604020695,0.873,0.077,1,0.666666666666667,0.5
"Alo_pra.Tri_pra.Ant_syl",0.730179853853413,16.2598137948202,0.745,-0.051,1,1,0.5
"Alo_pra.Tri_pra.Her_sph",0.195658635845026,18.5099213152647,0.187,-0.019,1,1,0.5
"Alo_pra.Tri_pra.Hel_pub",0.425955444277416,18.5514495167725,0.462,-0.059,1,1,0.5
"Alo_pra.Tri_pra.Bra_pin",0.740039778854951,3.99052712177821,0.728,-0.032,1,1,0.5
"Alo_pra.Ran_rep.Ran_acr",1.25699599974134,55.2530736670985,0.881,0.019,1,1,0.5
"Alo_pra.Ran_rep.Pla_lan",1.232047038004,56.8341964727753,0.901,0.0399999999999999,1,0.666666666666667,0.5
"Alo_pra.Ran_rep.Ach_mil",1.24777768832097,63.9664120978452,0.954,0.031,1,1,0.5
"Alo_pra.Ran_rep.Ant_syl",0.960065481445764,38.9124689682245,0.771,0.079,1,1,0.5
"Alo_pra.Ran_rep.Her_sph",0.345713200655369,22.7581951858951,0.246,0.073,1,1,0.5
"Alo_pra.Ran_rep.Hel_pub",0.59070380821349,32.8891597661214,0.405,0.078,0,0.666666666666667,0.5
"Alo_pra.Bro_ere.Pla_lan",1.10309019557402,26.5663584046227,0.89,-0.005,1,1,0.5
"Alo_pra.Bro_ere.Ach_mil",0.83600056696709,29.812363188477,0.75,-0.084,1,1,0.5
"Alo_pra.Bro_ere.Ant_syl",0.711653690290961,20.6021782857895,0.691,-0.033,1,1,0.5
"Alo_pra.Bro_ere.Her_sph",0.211797433951585,25.0507971202312,0.184,0.004,1,1,0.5
"Alo_pra.Bro_ere.Hel_pub",0.134418427455165,13.7796167861432,0.11,-0.00800000000000001,0,0.666666666666667,0.5
"Alo_pra.Bro_ere.Bra_pin",1.17086843055037,26.1810431866051,0.85,0.046,1,1,0.5
"Alo_pra.Ran_acr.Pla_lan",1.35868227484006,43.9495505654064,0.912,0.00800000000000001,1,1,0.5
"Alo_pra.Ran_acr.Ach_mil",1.44928243400439,53.1820100840645,0.964,0.028,1,0.666666666666667,0.5
"Alo_pra.Ran_acr.Ant_syl",1.07475346530031,25.4470650925704,0.792,0.0670000000000001,1,1,0.5
